scenario_id,scenario_name,factory_id,part_category,part_label,requested_quantity,capacity_units_30d,adjusted_capacity_units_30d,capacity_tier,capacity_index,capacity_confidence,grid_zone_id,grid_dependency_score,outage_output_multiplier,hub_id,hub_name,destination_type,destination_factory_id,destination_name,destination_site_label,route_distance_km,duration_min,fuel_liters_per_trip,driver_hours_per_trip,estimated_trip_cost_krw,routing_provider,routing_status,route_geometry_source,route_geometry_points,route_road_summary,routing_note,risk,risk_reason,status
baseline,Baseline Production Plan,fac_priority_d8652de781,drone_assembly,Drone / Final Assembly,834,1450,1435,A,0.78,0.86,grid_zone_e6011691,0.487,0.698,fac_priority_d8652de781,본AI · 상주 생산공장,priority_final_assembly_factory,fac_priority_d8652de781,본AI · 상주 생산공장,상주 생산공장,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_a2d8939ba2,drone_assembly,Drone / Final Assembly,834,1200,1188,A,0.78,0.84,grid_zone_bfcc2516,0.727,0.549,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,priority_final_assembly_factory,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_d14c61f1b0,drone_assembly,Drone / Final Assembly,834,1350,1336,A,0.78,0.85,grid_zone_4f20da2a,0.454,0.719,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,priority_final_assembly_factory,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,송도 제조센터,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_ee105ea137,drone_assembly,Drone / Final Assembly,834,860,851,B,0.78,0.7,grid_zone_3964bd52,0.488,0.697,fac_priority_ee105ea137,에이럭스 / ALUX · 도봉 공식 사업장 / 제조 인프라 확인 필요,priority_final_assembly_factory,fac_priority_ee105ea137,에이럭스 / ALUX · 도봉 공식 사업장 / 제조 인프라 확인 필요,도봉 공식 사업장 / 제조 인프라 확인 필요,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_7660b03367,drone_assembly,Drone / Final Assembly,833,2100,2079,A,0.78,0.87,grid_zone_c6caac65,0.423,0.738,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,priority_final_assembly_factory,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,대한항공 테크센터,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_f1709ef7e1,drone_assembly,Drone / Final Assembly,833,1280,1267,A,0.78,0.84,grid_zone_bfcc2516,0.727,0.549,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,priority_final_assembly_factory,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_ffb4309405,drone_assembly,Drone / Final Assembly,833,980,970,B,0.78,0.82,grid_zone_c6caac65,0.416,0.742,fac_priority_ffb4309405,피앤유드론 / PNU Drone · 부산 제1공장,priority_final_assembly_factory,fac_priority_ffb4309405,피앤유드론 / PNU Drone · 부산 제1공장,부산 제1공장,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_38de94e360,drone_assembly,Drone / Final Assembly,833,1350,1336,A,0.78,0.82,grid_zone_ed9208b5,0.405,0.749,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,priority_final_assembly_factory,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_115bd4ae5d,drone_assembly,Drone / Final Assembly,833,980,970,B,0.78,0.76,grid_zone_bfcc2516,0.72,0.554,fac_priority_115bd4ae5d,두산모빌리티이노베이션 / DMI · 두산기술원,priority_final_assembly_factory,fac_priority_115bd4ae5d,두산모빌리티이노베이션 / DMI · 두산기술원,두산기술원,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
baseline,Baseline Production Plan,fac_priority_3872d4e82a,drone_assembly,Drone / Final Assembly,833,900,891,B,0.78,0.76,grid_zone_4f20da2a,0.445,0.724,fac_priority_3872d4e82a,숨비 / SOOMVI · 인천 본사 / 연구소,priority_final_assembly_factory,fac_priority_3872d4e82a,숨비 / SOOMVI · 인천 본사 / 연구소,인천 본사 / 연구소,0,0,0,0,0,onsite_final_assembly_assignment,onsite,,2,,Final assembly is assigned directly to this priority drone manufacturer site; no synthetic assembly hub leg.,0.12,normal public-data uncertainty,final-assembly
