scenario_id,component_id,component_label,part_category,variant,unit,effective_units_per_drone,daily_demand_units,domestic_line_capacity_units_per_day,domestic_output_before_ramp_units_per_day,effective_inventory_units,net_burn_units_per_day,survival_days_p10,survival_days_likely,survival_days_p90,ramp_ready_day,ramp_gap_days,localization_difficulty,vulnerability,bottleneck_rank,is_bottleneck,subcomponent_constraints,verification_need
baseline,camera_module,Camera / imaging module,sensor_payload,all,ea,1.05,3499.7,36.2,6.5,27997,3493.1,4.4,8.0,13.0,73,65.0,HIGH,red,1,True,camera_cmos,"sensor module stock, lens compatibility, ISP/firmware interface, and calibration bench"
baseline,vtx_module,Video transmitter module,flight_stack,rf_only,ea,1.125,3749.6,46.0,8.3,35996,3741.3,5.4,9.6,15.6,52,42.4,HIGH,red,2,False,rf_chip_saw,"RF chipset, SAW filter, thermal design, certification constraints, and alternate BOM"
baseline,flight_controller,Flight controller board,flight_stack,all,ea,1.05,3499.7,127.1,22.9,44096,3476.8,7.1,12.7,20.5,51,38.3,MEDIUM,red,3,False,imu_sensor | mcu_kit,"MCU and IMU stock, firmware porting, calibration bench, and test coverage"
baseline,fiber_comm_module,Fiber communication module,flight_stack,fiber_only,ea,0.105,350.0,135.0,24.3,4585,325.7,7.7,14.1,23.1,45,30.9,MEDIUM,green,4,False,fiber_module_chip,"fiber module sourcing, spool interface, and payout mechanism validation"
baseline,rx_antenna_set,Receiver and antenna set,flight_stack,rf_only,ea,3.375,11248.9,70.7,12.7,169858,11236.1,8.4,15.1,24.5,56,40.9,MEDIUM_HIGH,yellow,5,False,rf_chip_saw,"receiver chipset, antenna stock, connector format, and field failure/cannibalization rate"
baseline,frame_fpv,FPV-class frame,airframe,all,ea,1.0,3333.0,222.1,40.0,50662,3293.0,8.5,15.4,24.9,24,8.6,LOW,green,6,False,,"carbon/composite grade, mold availability, dimensional tolerance, and QA readiness"
baseline,micro_parts_set,Micro-parts and wiring set,harness,all,set,1.2,3999.6,282.0,50.8,63994,3948.8,9.0,16.2,26.3,14,0,LOW,green,7,False,,"connector standard, capacitor stock, cable gauge, and kit completeness"
baseline,propeller_fpv,Propeller,propulsion,all,ea,6.0,19998.0,773.4,139.2,341966,19858.8,9.5,17.2,27.7,15,0,LOW,yellow,8,False,,"material grade, tooling, balance/warp QA, and packaging loss rate"
baseline,esc_4in1,ESC board class,flight_stack,all,ea,1.05,3499.7,148.9,26.8,61594,3472.8,9.9,17.7,28.7,47,29.3,MEDIUM,red,9,False,fet_set | mcu_kit,"MCU/FET/capacitor kit availability, firmware QA, and load testing"
baseline,motor_bldc_fpv,BLDC motor class,propulsion,all,ea,4.2,13998.6,379.2,68.3,299570,13930.3,12.0,21.5,34.8,58,36.5,MEDIUM_HIGH,red,10,False,bearing_set | ndfeb_magnet,"NdFeB magnet stock, winding equipment, balancing, bearings, and test fixtures"
