id,category,term,english,description,related_tracks,source
term-001-거부환경,작전·공통 개념,거부환경,Denied Environment,GPS·통신·전자전 교란 등으로 정상적인 지휘통제·항법·전송이 방해받는 작전 환경.,"[""공통""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 3, ""version"": ""20260703_174407""}"
term-002-거부작전-반접근-지역거부,작전·공통 개념,거부작전 / 반접근·지역거부,"A2/AD, Anti-Access·Area Denial",적이 특정 해·공역으로의 접근(Anti-Access)과 그 안에서의 작전(Area Denial)을 거부·방해하는 전략.,"[""공통""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 4, ""version"": ""20260703_174407""}"
term-003-회색지대,작전·공통 개념,회색지대,Gray-zone,평시도 전시도 아닌 모호한 영역에서 벌이는 강압·도발(민병·위장선박 등).,"[""T1"", ""T3"", ""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 5, ""version"": ""20260703_174407""}"
term-004-전력-승수,작전·공통 개념,전력 승수,Force Multiplier,같은 규모의 전력으로 작전 효과를 몇 배로 키워 주는 수단·기술.,"[""T2""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 6, ""version"": ""20260703_174407""}"
term-005-회복-탄력성,작전·공통 개념,회복 탄력성,Resilience,교란·피해를 입어도 핵심 기능을 유지하거나 빠르게 복구하는 능력.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 7, ""version"": ""20260703_174407""}"
term-006-인지부하,작전·공통 개념,인지부하,Cognitive Load,운용자가 동시에 처리해야 하는 정신적 부담의 양.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 8, ""version"": ""20260703_174407""}"
term-007-부수적-피해,작전·공통 개념,부수적 피해,Collateral Damage,목표물 외에 발생하는 민간인·아군·시설 피해.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 9, ""version"": ""20260703_174407""}"
term-008-골든타임,작전·공통 개념,골든타임,Golden Time,"위협에 효과적으로 대응할 수 있는, 짧고 결정적인 시간 창(窓).","[""T1"", ""T5""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 10, ""version"": ""20260703_174407""}"
term-009-전조-징후,작전·공통 개념,전조 징후,Indicator & Warning,사건·도발이 실제로 벌어지기 전에 나타나는 사전 신호.,"[""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 11, ""version"": ""20260703_174407""}"
term-010-전투-준비태세,작전·공통 개념,전투 준비태세,Readiness,부대·인원이 즉시 임무를 수행할 수 있는 준비 상태.,"[""T5""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 12, ""version"": ""20260703_174407""}"
