scenario_id,scenario_name,part_category,part_label,shortlist_rank,scenario_score,factory_id,company_name,province,city,capacity_tier,capacity_index,capacity_confidence,predicted_output_units_30d,adjusted_capacity_units_30d,risk,risk_reason,grid_zone_id,grid_dependency_score,outage_output_multiplier,nearest_assembly_factory_id,nearest_assembly_factory_name,nearest_assembly_factory_site_label,straight_line_to_assembly_factory_km,route_matrix_status,selection_reason
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,1,161.072,fac_priority_7660b03367,대한항공 항공우주사업본부,부산광역시,강서구,A,0.78,0.87,2100,1534,0.12,normal public-data uncertainty,grid_zone_c6caac65,0.423,0.738,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,대한항공 테크센터,0.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,2,156.754,fac_priority_d8652de781,본AI,경상북도,상주시,A,0.78,0.86,1450,1002,0.12,normal public-data uncertainty,grid_zone_e6011691,0.487,0.698,fac_priority_d8652de781,본AI · 상주 생산공장,상주 생산공장,0.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,3,154.914,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR,인천광역시,연수구,A,0.78,0.85,1350,961,0.12,normal public-data uncertainty,grid_zone_4f20da2a,0.454,0.719,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,송도 제조센터,0.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,4,154.412,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM,대전광역시,유성구,A,0.78,0.82,1350,1001,0.12,normal public-data uncertainty,grid_zone_ed9208b5,0.405,0.749,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,0.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,5,152.422,fac_priority_5daa57ca08,아쎄따 / ASSETTA,인천광역시,서구,B,0.78,0.82,980,699,0.12,normal public-data uncertainty,grid_zone_4f20da2a,0.45,0.721,fac_priority_5daa57ca08,아쎄따 / ASSETTA · 인천 연구소/공장,인천 연구소/공장,0.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,6,151.646,fac_priority_f1709ef7e1,프리뉴 / PRENEU,경기도,안산시,A,0.78,0.84,1280,695,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.727,0.549,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,0.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,7,150.714,fac_priority_ffb4309405,피앤유드론 / PNU Drone,부산광역시,강서구,B,0.78,0.82,980,719,0.12,normal public-data uncertainty,grid_zone_c6caac65,0.416,0.742,fac_priority_ffb4309405,피앤유드론 / PNU Drone · 부산 제1공장,부산 제1공장,0.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,8,150.645,fac_priority_a2d8939ba2,유비파이 / UVify,경기도,의왕시,A,0.78,0.84,1200,652,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.727,0.549,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,0.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,9,145.05,fac_priority_3872d4e82a,숨비 / SOOMVI,인천광역시,연수구,B,0.78,0.76,900,645,0.12,normal public-data uncertainty,grid_zone_4f20da2a,0.445,0.724,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,송도 제조센터,5.8,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,10,143.75,fac_priority_115bd4ae5d,두산모빌리티이노베이션 / DMI,경기도,용인시,B,0.78,0.76,980,537,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.72,0.554,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,7.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,11,142.689,fac_priority_4bcce541d9,아스트로엑스 / AstroX,인천광역시,서구,B,0.78,0.72,780,560,0.12,normal public-data uncertainty,grid_zone_4f20da2a,0.442,0.726,fac_priority_4bcce541d9,아스트로엑스 / AstroX · 인천 로봇타워 R&D·제조거점,인천 로봇타워 R&D·제조거점,0.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,12,142.644,fac_5eeed85cb4,(주)휴니드테크놀러지스,인천광역시,연수구,B,0.696,0.915,625,448,0.12,normal public-data uncertainty,grid_zone_4f20da2a,0.445,0.724,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,송도 제조센터,16.8,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,13,139.46,fac_priority_ee105ea137,에이럭스 / ALUX,서울특별시,도봉구,B,0.78,0.7,860,593,0.12,normal public-data uncertainty,grid_zone_3964bd52,0.488,0.697,fac_priority_ee105ea137,에이럭스 / ALUX · 도봉 공식 사업장 / 제조 인프라 확인 필요,도봉 공식 사업장 / 제조 인프라 확인 필요,0.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,14,138.946,fac_priority_058abeb837,파블로항공 / PABLO AIR,경상남도,창원시,B,0.62,0.76,1160,823,0.12,normal public-data uncertainty,grid_zone_a1097f3c,0.456,0.717,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,대한항공 테크센터,28.5,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,15,138.732,fac_priority_2a8852932a,파블로항공 / PABLO AIR,경기도,김포시,B,0.62,0.79,1320,717,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.728,0.549,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,송도 제조센터,23.4,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,16,138.661,fac_priority_370a54ec3d,파블로항공 / PABLO AIR,경상남도,창원시,B,0.62,0.76,1160,823,0.12,normal public-data uncertainty,grid_zone_a1097f3c,0.456,0.717,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,대한항공 테크센터,21.7,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,17,138.325,fac_a2728846f0,㈜네온테크,경기도,안양시,B,0.666,0.915,575,315,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.72,0.554,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,18.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,18,134.169,fac_priority_fcbe04f951,피앤유드론 / PNU Drone,경상남도,양산시,B,0.62,0.74,920,654,0.12,normal public-data uncertainty,grid_zone_a1097f3c,0.453,0.719,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,대한항공 테크센터,79.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,19,133.494,fac_f83686f5d4,한국삼공(주),전라북도,익산시,B,0.645,0.885,550,405,0.12,normal public-data uncertainty,grid_zone_fabab736,0.412,0.745,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,71.9,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,20,131.864,fac_578330c439,(주)시스테크,서울특별시,마포구,C,0.524,0.926,350,239,0.12,normal public-data uncertainty,grid_zone_3964bd52,0.499,0.691,fac_priority_ee105ea137,에이럭스 / ALUX · 도봉 공식 사업장 / 제조 인프라 확인 필요,도봉 공식 사업장 / 제조 인프라 확인 필요,7.8,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
