grid_zone_id,name,province,precision_level,facility_class,factory_count,industrial_electricity_mwh,industrial_energy_toe,kepco_large_customer_rows,kepco_top_substation_classes,grid_dependency_score,exposure_tier,top_part_categories,source
grid_zone_bfcc2516,경기도 industrial load-serving risk zone,경기도,province_centroid_proxy,aggregated_load_serving_area_proxy,49,53403611.0,15548877.0,5924,변전소(154kV):2599 | 단상2선(22.9kV-y):2290 | 삼상3선(154kV):381 | 변전소(22.9kV-y):345 | 변전소(66kV):175,0.802,high,Flight Stack:10 | Propulsion:7 | Airframe:6 | Assembly:6,KEA regional industrial electricity + KEPCO large-customer equipment context + candidate factory distribution
grid_zone_2d0a6a6a,충청남도 industrial load-serving risk zone,충청남도,province_centroid_proxy,aggregated_load_serving_area_proxy,21,62778164.0,18088654.0,1420,변전소(154kV):720 | 삼상3선(154kV):330 | 단상2선(22.9kV-y):165 | 삼상3선(345kV):90 | 발전소(22.9kV-y):30,0.611,elevated,Propulsion:5 | Airframe:4 | Power:4 | Flight Stack:3,KEA regional industrial electricity + KEPCO large-customer equipment context + candidate factory distribution
grid_zone_e6011691,경상북도 industrial load-serving risk zone,경상북도,province_centroid_proxy,aggregated_load_serving_area_proxy,26,19439176.0,8168306.0,2435,변전소(154kV):990 | 단상2선(22.9kV-y):745 | 변전소(22.9kV-y):240 | 발전소(345kV):95 | 삼상3선(154kV):95,0.447,moderate,Airframe:5 | Power:5 | Harness:4 | Propulsion:4,KEA regional industrial electricity + KEPCO large-customer equipment context + candidate factory distribution
grid_zone_79012109,울산광역시 industrial load-serving risk zone,울산광역시,province_centroid_proxy,aggregated_load_serving_area_proxy,6,35478417.0,9774233.0,1122,변전소(154kV):478 | 삼상3선(154kV):349 | 발전소(154kV):132 | 단상2선(22.9kV-y):66 | 변전소(22.9kV-y):52,0.379,moderate,Power:3 | Airframe:1 | Flight Stack:1 | QA:1,KEA regional industrial electricity + KEPCO large-customer equipment context + candidate factory distribution
grid_zone_3964bd52,서울특별시 industrial load-serving risk zone,서울특별시,province_centroid_proxy,aggregated_load_serving_area_proxy,3,1281966.0,260286.0,19215,변전소(22.9kV-y):11987 | 변전소(154kV):2647 | 삼상3선(154kV):1628 | 삼상3선(22kV):1591 | 단상2선(22.9kV-y):687,0.375,moderate,Assembly:2 | Propulsion:1,KEA regional industrial electricity + KEPCO large-customer equipment context + candidate factory distribution
grid_zone_a1097f3c,경상남도 industrial load-serving risk zone,경상남도,province_centroid_proxy,aggregated_load_serving_area_proxy,20,10789796.0,3272264.0,988,변전소(154kV):406 | 단상2선(22.9kV-y):321 | 삼상3선(154kV):209 | 변전소(22.9kV-y):15 | 변전소(345kV):15,0.344,moderate,Propulsion:4 | QA:4 | Assembly:3 | Sensor:3,KEA regional industrial electricity + KEPCO large-customer equipment context + candidate factory distribution
grid_zone_49414766,충청북도 industrial load-serving risk zone,충청북도,province_centroid_proxy,aggregated_load_serving_area_proxy,13,14884907.0,1844481.0,1980,변전소(154kV):1125 | 단상2선(22.9kV-y):385 | 삼상3선(154kV):270 | 변전소(22.9kV-y):95 | 삼상3선(66kV):75,0.327,low,Harness:4 | Flight Stack:3 | Power:3 | Airframe:1,KEA regional industrial electricity + KEPCO large-customer equipment context + candidate factory distribution
grid_zone_4f20da2a,인천광역시 industrial load-serving risk zone,인천광역시,province_centroid_proxy,aggregated_load_serving_area_proxy,17,7276225.0,3888457.0,1100,단상2선(22.9kV-y):610 | 삼상3선(154kV):430 | 삼상3선(22kV):20 | 변전소(154kV):10 | 변전소(345kV):10,0.316,low,Propulsion:6 | Assembly:4 | Sensor:3 | QA:2,KEA regional industrial electricity + KEPCO large-customer equipment context + candidate factory distribution
grid_zone_99e45246,전라남도 industrial load-serving risk zone,전라남도,province_centroid_proxy,aggregated_load_serving_area_proxy,3,20889330.0,21201294.0,1014,변전소(154kV):362 | 변전소(345kV):177 | 단상2선(22.9kV-y):157 | 발전소(154kV):120 | 변전소(22.9kV-y):70,0.28,low,Airframe:1 | Power:1 | Sensor:1,KEA regional industrial electricity + KEPCO large-customer equipment context + candidate factory distribution
grid_zone_c633d1f6,강원도 industrial load-serving risk zone,강원도,province_centroid_proxy,aggregated_load_serving_area_proxy,1,4134988.0,4268101.0,6440,단상2선(22.9kV-y):4880 | 삼상3선(154kV):760 | 변전소(154kV):305 | 변전소(66kV):305 | 변전소(345kV):100,0.249,low,Propulsion:1,KEA regional industrial electricity + KEPCO large-customer equipment context + candidate factory distribution
