id,relevance_score,source,relation,topic_id,topic_label,query,openalex_id,doi,title,authors,year,publication_date,url,pdf_url,is_open_access,cited_by_count,venue,concepts,abstract
dfa1a96c192a3191,31,OpenAlex,seed_search,cop_c2_situational_awareness,COP / C2 / situational awareness,"""common operational picture"" sensor fusion decision support",https://openalex.org/W4405378995,10.5162/ettc2024/a6.2,A6.2 - Multiplatform sensor fusion. Drawing a common tactical scenario.,"[""Manuel Nogales""]",2024,2024-01-01,https://doi.org/10.5162/ettc2024/a6.2,https://www.ama-science.org/proceedings/getFile/AGpjAD==,True,0,,"[""Computer science"", ""Fusion"", ""Sensor fusion"", ""Real-time computing"", ""Human–computer interaction"", ""Computer vision"", ""Linguistics"", ""Philosophy""]","Recent years have proven the importance of sharing sensor data in complex scenarios.The platforms in play are wildly heterogeneous, from small, unmanned vehicles to aircrafts, land units or vessels.This paper explains the concept of Common Operational Picture, a tactical scenario where multiple participants share sensory data to draw a single vision, improving data quality and reliability through data fusion.The main topic to be covered will be the data fusion and integration techniques used to enhance quality and reliability and the machine learning methods used for decision making with the data being stored.The root of the problem lies in the origin of data, as it is provided, processed, and stored by different participants and later on shared with others.This pipeline brings some challenges such as different timing systems, sensor hysteresis, and connectivity problems which burden data quality.Artificial intelligence and machine learning offer several solutions in this regard: bandwidth can be reduce using dimensionality reduction techniques, data anomalies, outliers, can be detected and analyzed using support vector machines and a greater situational awareness can be achieved."
2bd6f42e2d7c9847,29,OpenAlex,seed_search,semantic_communication_core,Semantic communication core,"""semantic communications"" wireless networks survey",https://openalex.org/W3166791908,10.1109/jsac.2021.3087240,Semantic Communication Systems for Speech Transmission,"[""Zhenzi Weng"", ""Zhijin Qin""]",2021,2021-06-10,https://doi.org/10.1109/jsac.2021.3087240,,True,604,IEEE Journal on Selected Areas in Communications,"[""Computer science"", ""Speech recognition"", ""Transmission (telecommunications)"", ""Channel (broadcasting)"", ""Communications system"", ""Distortion (music)"", ""Artificial neural network"", ""Adaptation (eye)"", ""Artificial intelligence"", ""Telecommunications""]","Semantic communications could improve the transmission efficiency significantly by exploring the semantic information. In this paper, we make an effort to recover the transmitted speech signals in the semantic communication systems, which minimizes the error at the semantic level rather than the bit or symbol level. Particularly, we design a deep learning (DL)-enabled semantic communication system for speech signals, named DeepSC-S. In order to improve the recovery accuracy of speech signals, especially for the essential information, DeepSC-S is developed based on an attention mechanism by utilizing a squeeze-and-excitation (SE) network. The motivation behind the attention mechanism is to identify the essential speech information by providing higher weights to them when training the neural network. Moreover, in order to facilitate the proposed DeepSC-S for dynamic channel environments, we find a general model to cope with various channel conditions without retraining. Furthermore, we investigate DeepSC-S in telephone systems as well as multimedia transmission systems to verify the model adaptation in practice. The simulation results demonstrate that our proposed DeepSC-S outperforms the traditional communications in both cases in terms of the speech signals metrics, such as signal-to-distortion ration and perceptual evaluation of speech distortion. Besides, DeepSC-S is more robust to channel variations, especially in the low signal-to-noise (SNR) regime."
ad153ade7848f4ff,29,OpenAlex,seed_search,cop_c2_situational_awareness,COP / C2 / situational awareness,"""common operational picture"" sensor fusion decision support | ""ontology"" ""common operational picture"" ""command and control"" | ""situational awareness"" ""command and control"" ""sensor fusion""",https://openalex.org/W2982289527,10.3390/app9214577,"Application of Augmented Reality, Mobile Devices, and Sensors for a Combat Entity Quantitative Assessment Supporting Decisions and Situational Awareness Development","[""Mariusz Chmielewski"", ""Krzysztof Sapiejewski"", ""Michał Sobolewski""]",2019,2019-10-28,https://doi.org/10.3390/app9214577,https://www.mdpi.com/2076-3417/9/21/4577/pdf?version=1572261462,True,14,Applied Sciences,"[""Battlespace"", ""Situation awareness"", ""Computer science"", ""Augmented reality"", ""Identification (biology)"", ""Decision support system"", ""Human–computer interaction"", ""Engineering"", ""Computer security"", ""Artificial intelligence""]","This paper presents advances in the development of specialized mobile applications for combat decision support utilizing augmented reality technologies used for the production of contextual data delivered to any tactical smartphone. Handhelds and decision support systems have been present in military operations since the 1990s. Due to the development of hardware and software platforms, smartphones are capable of running complex algorithms for individual soldiers and low-level commander support. The utilization of tactical data (force location, composition, and tasks) in dynamic mobile networks that are accessible anywhere during a mission provides means for the development of situational awareness and decision superiority. These two elements are key factors in 21st-century military operations, as they influence the efficiency of recognition, identification, and targeting. Combat support tools and their analytical capabilities can serve as recon data hubs, but most of all they can support and simplify complex analytical tasks for commanders. These tasks mainly include topographical and tactical orientation within the battlespace. This paper documents the ideas for and construction details of mobile support tools used for supporting the specific operational activities of military personnel during combat and crisis management. The presented augmented reality-based evaluation methods formulate new capabilities for the visualization and identification of military threats, mission planning characteristics, tasks, and checkpoints, which help individuals to orientate within their current situation. The developed software platform, mobile common operational picture (mCOP), demonstrates all research findings and delivers a personalized combat-oriented distributed mobile system, supporting blue-force tracking capabilities and reconnaissance data fusion as well as threat-level evaluations for military and crisis management scenarios. The mission data are further fused with Geographic Information System (GIS) topographical and vector data, supporting terrain evaluations for mission planning and execution. The application implements algorithms for path finding, movement task scheduling, assistance, and analysis, as well as military potential evaluation, threat-level estimation, and location tracking. The features of the mCOP mobile application were designed and organized as mission-critical functions. The presented research demonstrates and proves the usefulness of deploying mobile applications for combat support, situation awareness development, and the delivery of augmented reality-based threat-level analytical data to extend the capabilities and properties of software tools applied for supporting military and border protection operations."
f9a7f2a788d1a718,29,OpenAlex,seed_search,maritime_mda_ais_osint,Maritime MDA / AIS / OSINT,"""dark vessel"" ""AIS"" ""SAR"" fusion",https://openalex.org/W4387802125,10.1109/igarss52108.2023.10282208,Revealing Dark Vessels in the Mauritius Exclusive Economic Zone (EEZ) Using Multi-Temporal SAR and AIS Data,"[""Maximilian Rodger"", ""Raffaella Guida""]",2023,2023-07-16,http://dx.doi.org/10.1109/igarss52108.2023.10282208,,False,5,,"[""Exclusive economic zone"", ""Computer science"", ""Fishery"", ""Biology""]","The United Nations Development Programme (UNDP) launched the Ocean Innovators program to combat illegal fishing and destructive fishing practices, benefiting Small Island Developing States (SIDS) and Least Developed Countries (LDCs). One of the selected projects, ‘Nereus’, currently being developed by Surrey Space Centre (SSC) and Mauritius Research and Innovation Council (MRIC), utilises AI and satellite data fusion to monitor fishing vessel activity in Mauritius’ Exclusive Economic Zone (EEZ) and Marine Protected Areas (MPAs). The project combines various satellite technologies, including Synthetic Aperture Radar (SAR), Automatic Identification System (AIS) and Vessel Monitoring System (VMS). This paper analyses multi-temporal SAR and AIS data to identify ""dark"" ships that are not transmitting AIS signals. The methodology is applied to the Mauritius EEZ and MPAs, providing authorities with valuable information for informed decision-making and effective Maritime Domain Awareness (MDA)."
27ec007bc3865f18,27,arXiv,seed_search,cop_c2_situational_awareness,COP / C2 / situational awareness,"""common operational picture"" ""command and control""",,,Data-Driven Distributed Common Operational Picture from Heterogeneous Platforms using Multi-Agent Reinforcement Learning,"[""Indranil Sur"", ""Aswin Raghavan"", ""Abrar Rahman"", ""James Z Hare"", ""Daniel Cassenti"", ""Carl Busart""]",2024,2024-11-08,http://arxiv.org/abs/2411.05683v1,https://arxiv.org/pdf/2411.05683v1,True,0,arXiv,"[""cs.MA"", ""cs.AI""]","The integration of unmanned platforms equipped with advanced sensors promises to enhance situational awareness and mitigate the ""fog of war"" in military operations. However, managing the vast influx of data from these platforms poses a significant challenge for Command and Control (C2) systems. This study presents a novel multi-agent learning framework to address this challenge. Our method enables autonomous and secure communication between agents and humans, which in turn enables real-time formation of an interpretable Common Operational Picture (COP). Each agent encodes its perceptions and actions into compact vectors, which are then transmitted, received and decoded to form a COP encompassing the current state of all agents (friendly and enemy) on the battlefield. Using Deep Reinforcement Learning (DRL), we jointly train COP models and agent's action selection policies. We demonstrate resilience to degraded conditions such as denied GPS and disrupted communications. Experimental validation is performed in the Starcraft-2 simulation environment to evaluate the precision of the COPs and robustness of policies. We report less than 5% error in COPs and policies resilient to various adversarial conditions. In summary, our contributions include a method for autonomous COP formation, increased resilience through distributed prediction, and joint training of COP models and multi-agent RL policies. This research advances adaptive and resilient C2, facilitating effective control of heterogeneous unmanned platforms."
d01aac981118374c,26,OpenAlex,seed_search,semantic_communication_core,Semantic communication core,"""semantic communication"" ""bandwidth"" ""wireless"" | ""semantic communications"" wireless networks survey",https://openalex.org/W3036851434,10.1109/tsp.2021.3071210,Deep Learning Enabled Semantic Communication Systems,"[""Huiqiang Xie"", ""Zhijin Qin"", ""Geoffrey Ye Li"", ""Biing‐Hwang Juang""]",2021,2021-01-01,https://doi.org/10.1109/tsp.2021.3071210,https://ieeexplore.ieee.org/ielx7/78/9307529/09398576.pdf,True,1345,IEEE Transactions on Signal Processing,"[""Computer science"", ""Communications system"", ""Artificial intelligence"", ""Deep learning"", ""Natural language processing"", ""Sentence"", ""Semantic similarity"", ""Machine learning"", ""Speech recognition"", ""Telecommunications""]","Recently, deep learned enabled end-to-end communication systems have been developed to merge all physical layer blocks in the traditional communication systems, which make joint transceiver optimization possible. Powered by deep learning, natural language processing has achieved great success in analyzing and understanding a large amount of language texts. Inspired by research results in both areas, we aim to provide a new view on communication systems from the semantic level. Particularly, we propose a deep learning based semantic communication system, named DeepSC, for text transmission. Based on the Transformer, the DeepSC aims at maximizing the system capacity and minimizing the semantic errors by recovering the meaning of sentences, rather than bit- or symbol-errors in traditional communications. Moreover, transfer learning is used to ensure the DeepSC applicable to different communication environments and to accelerate the model training process. To justify the performance of semantic communications accurately, we also initialize a new metric, named sentence similarity. Compared with the traditional communication system without considering semantic information exchange, the proposed DeepSC is more robust to channel variation and is able to achieve better performance, especially in the low signal-to-noise (SNR) regime, as demonstrated by the extensive simulation results."
f0c18e596229e9ae,26,OpenAlex,seed_search,cop_c2_situational_awareness,COP / C2 / situational awareness,"""common operational picture"" sensor fusion decision support | ""ontology"" ""common operational picture"" ""command and control""",https://openalex.org/W4312207204,10.31217/p.36.2.13,Maritime information sharing environment deployment using the advanced multilayered Data Lake capabilities,"[""Zdravko Paladin"", ""Nexhat Kapidani"", ""Alkiviadis Astyakopoulos"", ""Christos Bolakis"", ""Marios Moutzouris"", ""Guillaume Hajduch"", ""Georgios Vosinakis"", ""Piero Scrima""]",2022,2022-12-23,https://doi.org/10.31217/p.36.2.13,https://hrcak.srce.hr/file/416250,True,5,Pomorstvo,"[""Interoperability"", ""Situation awareness"", ""Software deployment"", ""Computer science"", ""Information sharing"", ""Data exchange"", ""Data sharing"", ""Information exchange"", ""Systems engineering"", ""Process management""]","Establishing an efficient information sharing network among national agencies in maritime domain is of essential importance in enhancing the operational performance, increasing the situational awareness and enabling interoperability among all involved maritime surveillance assets. Based on various data-driven technologies and sources, the EU initiative of Common Information Sharing Environment (CISE), enables the networked participants to timely exchange information concerning vessel traffic, joint SAR &amp; operational missions, emergency situations and other events at sea. In order to host and process vast amounts of vessels and related maritime data consumed from heterogeneous sources (e.g. SAT-AIS, UAV, radar, METOC), the deployment of big data repositories in the form of Data Lakes is of great added value. The different layers in the Data Lakes with capabilities for aggregating, fusing, routing and harmonizing data are assisted by decision support tools with combined reasoning modules with semantics aiming at providing a more accurate Common Operational Picture (COP) among maritime agencies. Based on these technologies, the aim of this paper is to present an end-to-end interoperability framework for maritime situational awareness in strategic and tactical operations at sea, developed in EFFECTOR EU-funded project, focusing on the multilayered Data Lake capabilities. Specifically, a case study presents the important sources and processing blocks, such as the SAT-AIS, CMEMS, UAV components, enabling maritime information exchange in CISE format and communication patterns. Finally, the technical solution is validated in the project’s recently implemented maritime operational trials and the respective results are documented."
0b0c9a5c4ad97dc6,26,arXiv,seed_search,semantic_communication_core,Semantic communication core,"""semantic communications"" wireless networks survey | ""task-oriented semantic communication"" wireless networks",,10.1016/j.comnet.2025.111531,Semantic Edge Computing and Semantic Communications in 6G Networks: A Unifying Survey and Research Challenges,"[""Milin Zhang"", ""Mohammad Abdi"", ""Venkat R. Dasari"", ""Francesco Restuccia""]",2024,2024-11-27,http://arxiv.org/abs/2411.18199v3,https://arxiv.org/pdf/2411.18199v3,True,0,arXiv,"[""cs.LG"", ""cs.NI"", ""eess.SP""]","Semantic Edge Computing (SEC) and Semantic Communications (SemComs) have been proposed as viable approaches to achieve real-time edge-enabled intelligence in sixth-generation (6G) wireless networks. On one hand, SemCom leverages the strength of Deep Neural Networks (DNNs) to encode and communicate the semantic information only, while making it robust to channel distortions by compensating for wireless effects. Ultimately, this leads to an improvement in the communication efficiency. On the other hand, SEC has leveraged distributed DNNs to divide the computation of a DNN across different devices based on their computational and networking constraints. Although significant progress has been made in both fields, the literature lacks a systematic view to connect both fields. In this work, we fulfill the current gap by unifying the SEC and SemCom fields. We summarize the research problems in these two fields and provide a comprehensive review of the state of the art with a focus on their technical strengths and challenges."
c1492814e01ff609,25,OpenAlex,seed_search,semantic_communication_core,Semantic communication core,"""semantic communications"" wireless networks survey",https://openalex.org/W4319302797,10.1109/twc.2023.3240969,Deep Learning Enabled Semantic Communications With Speech Recognition and Synthesis,"[""Zhenzi Weng"", ""Zhijin Qin"", ""Xiaoming Tao"", ""Chengkang Pan"", ""Guangyi Liu"", ""Geoffrey Ye Li""]",2023,2023-02-06,https://doi.org/10.1109/twc.2023.3240969,https://ieeexplore.ieee.org/ielx7/7693/4656680/10038754.pdf,True,253,IEEE Transactions on Wireless Communications,"[""Computer science"", ""Speech recognition"", ""Channel (broadcasting)"", ""Voice activity detection"", ""Transmission (telecommunications)"", ""Encoder"", ""Artificial neural network"", ""Communications system"", ""Speech processing"", ""Artificial intelligence""]","In this paper, we develop a deep learning based semantic communication system for speech transmission, named DeepSC-ST. We take the speech recognition and speech synthesis as the transmission tasks of the communication system, respectively. First, the speech recognition-related semantic features are extracted for transmission by a joint semantic-channel encoder and the text is recovered at the receiver based on the received semantic features, which significantly reduces the required amount of data transmission without performance degradation. Then, we perform speech synthesis at the receiver, which dedicates to re-generate the speech signals by feeding the recognized text and the speaker information into a neural network module. To enable the DeepSC-ST adaptive to dynamic channel environments, we identify a robust model to cope with different channel conditions. According to the simulation results, the proposed DeepSC-ST significantly outperforms conventional communication systems and existing DL-enabled communication systems, especially in the low signal-to-noise ratio (SNR) regime. A software demonstration is further developed as a proof-of-concept of the DeepSC-ST."
0aa7f287add65ebe,25,OpenAlex,seed_search,semantic_communication_core,Semantic communication core,"""semantic communications"" wireless networks survey",https://openalex.org/W4206175303,10.1109/lwc.2021.3136045,Task-Oriented Multi-User Semantic Communications for VQA,"[""Huiqiang Xie"", ""Zhijin Qin"", ""Geoffrey Ye Li""]",2021,2021-12-16,https://doi.org/10.1109/lwc.2021.3136045,,True,218,IEEE Wireless Communications Letters,"[""Computer science"", ""Task (project management)"", ""Channel (broadcasting)"", ""Transmission (telecommunications)"", ""Focus (optics)"", ""Exploit"", ""Communications system"", ""Artificial intelligence"", ""Human–computer interaction"", ""Information retrieval""]","Semantic communications focus on the transmission of semantic features. In this letter, we consider a task-oriented multi-user semantic communication system for multimodal data transmission. Particularly, partial users transmit images while the others transmit texts to inquiry the information about the images. To exploit the correlation among the multimodal data from multiple users, we propose a deep neural network enabled semantic communication system, named MU-DeepSC, to execute the visual question answering (VQA) task as an example. Specifically, the transceiver for MU-DeepSC is designed and optimized jointly to capture the features from the correlated multimodal data for task-oriented transmission. Simulation results demonstrate that the proposed MU-DeepSC is more robust to channel variations than the traditional communication systems, especially in the low signal-to-noise (SNR) regime."
