id,priority_score,source,source_id,doi,title,authors,year,publication_date,url,pdf_url,is_open_access,cited_by_count,venue,concepts,topic_id,topic_label,track_ids,problem_ids,query,abstract
7d19cb661bde64f0,12,OpenAlex,https://openalex.org/W3140854437,10.1186/s40537-021-00444-8,"Review of deep learning: concepts, CNN architectures, challenges, applications, future directions","[""Laith Alzubaidi"", ""Jinglan Zhang"", ""Amjad J. Humaidi"", ""Ayad Q. Al-Dujaili"", ""Ye Duan"", ""Omran Al-Shamma"", ""José Santamaría"", ""Mohammed A. Fadhel""]",2021,2021-03-31,https://doi.org/10.1186/s40537-021-00444-8,https://journalofbigdata.springeropen.com/counter/pdf/10.1186/s40537-021-00444-8,True,7564,Journal Of Big Data,"[""Computer science"", ""Artificial intelligence"", ""Field (mathematics)"", ""Deep learning"", ""Convolutional neural network"", ""Machine learning"", ""Data science"", ""Point (geometry)""]",T2_fusion_intel_copilot,멀티소스 융합 인텔 코파일럿,"[""T2""]","[""T2-001""]",open source intelligence multi source fusion knowledge graph large language model,"In the last few years, the deep learning (DL) computing paradigm has been deemed the Gold Standard in the machine learning (ML) community. Moreover, it has gradually become the most widely used computational approach in the field of ML, thus achieving outstanding results on several complex cognitive tasks, matching or even beating those provided by human performance. One of the benefits of DL is the ability to learn massive amounts of data. The DL field has grown fast in the last few years and it has been extensively used to successfully address a wide range of traditional applications. More importantly, DL has outperformed well-known ML techniques in many domains, e.g., cybersecurity, natural language processing, bioinformatics, robotics and control, and medical information processing, among many others. Despite it has been contributed several works reviewing the State-of-the-Art on DL, all of them only tackled one aspect of the DL, which leads to an overall lack of knowledge about it. Therefore, in this contribution, we propose using a more holistic approach in order to provide a more suitable starting point from which to develop a full understanding of DL. Specifically, this review attempts to provide a more comprehensive survey of the most important aspects of DL and including those enhancements recently added to the field. In particular, this paper outlines the importance of DL, presents the types of DL techniques and networks. It then presents convolutional neural networks (CNNs) which the most utilized DL network type and describes the development of CNNs architectures together with their main features, e.g., starting with the AlexNet network and closing with the High-Resolution network (HR.Net). Finally, we further present the challenges and suggested solutions to help researchers understand the existing research gaps. It is followed by a list of the major DL applications. Computational tools including FPGA, GPU, and CPU are summarized along with a description of their influence on DL. The paper ends with the evolution matrix, benchmark datasets, and summary and conclusion."
255389898f37d201,12,OpenAlex,https://openalex.org/W4362515116,10.1007/s11704-026-60308-3,A Survey of Large Language Models,"[""Wayne Xin Zhao"", ""Kun Zhou"", ""Junyi Li"", ""Tianyi Tang"", ""Xiaolei Wang"", ""Yupeng Hou"", ""Yingqian Min"", ""Beichen Zhang""]",2026,2026-05-09,https://doi.org/10.1007/s11704-026-60308-3,https://link.springer.com/content/pdf/10.1007/s11704-026-60308-3.pdf,True,1410,Frontiers of Computer Science,"[""Language model"", ""Computer science"", ""Mainstream"", ""Scale (ratio)"", ""Artificial intelligence"", ""Scaling"", ""Natural language processing"", ""Data science""]",T5_on_device_tactical_ai,온디바이스 전술 AI / 오프라인 RAG,"[""T5""]","[""T5-002""]",on device large language model retrieval augmented generation offline,"Abstract The rapid evolution of large language models (LLMs) has driven a transformative shift in artificial intelligence (AI), reshaping both research paradigms and practical applications. Distinguished from their predecessors by unprecedented scale and advanced capabilities, LLMs necessitate new frameworks for understanding their development, behavior, and societal impact. This survey systematically reviews recent advancements in LLM techniques across four key dimensions: (1) pre-training methodologies, which establish core model capabilities through large-scale self-supervised training, architectural innovations, and data curation strategies; (2) post-training techniques, including supervised fine-tuning and reinforcement learning, which adapt foundational models to downstream tasks and enhance their alignment and safety; (3) utilization strategies, such as in-context learning, prompt engineering, and agentic reasoning, that optimize real-world deployment and enable effective interaction with external environments; and (4) evaluation methods, encompassing benchmarks for key ability dimensions such as core language capabilities, reasoning, and safety, which support comprehensive and reliable assessment of model performance. Additionally, we identify critical research issues, including those concerning theoretical foundations, efficient scaling, alignment, and agentic capability, and highlight the open challenges they present. By synthesizing state-of-the-art insights and emerging trends, this survey aims to provide a systematic and comprehensive framework for understanding the trajectory, current limitations, and future directions of LLM progress."
475a829071d9f09b,12,OpenAlex,https://openalex.org/W4402567773,10.1093/bioinformatics/btae560,Biomedical knowledge graph-optimized prompt generation for large language models,"[""Karthik Soman"", ""Peter W. Rose"", ""John H. Morris"", ""Rabia E Akbas"", ""Brett Smith"", ""Braian Peetoom"", ""Catalina Villouta-Reyes"", ""Gabriel Cerono""]",2024,2024-09-01,https://doi.org/10.1093/bioinformatics/btae560,https://academic.oup.com/bioinformatics/article-pdf/40/9/btae560/59459865/btae560.pdf,True,107,Bioinformatics,"[""Computer science"", ""Benchmarking"", ""Language model"", ""Machine learning"", ""Context (archaeology)"", ""Biomedicine"", ""Domain knowledge"", ""Artificial intelligence""]",X_llm_reliability_provenance,LLM 신뢰성 / citation / provenance / 평가,"[""T2"", ""T3"", ""T5""]","[""T2-001"", ""T3-001"", ""T5-002""]",retrieval augmented generation citation provenance hallucination evaluation,"MOTIVATION: Large language models (LLMs) are being adopted at an unprecedented rate, yet still face challenges in knowledge-intensive domains such as biomedicine. Solutions such as pretraining and domain-specific fine-tuning add substantial computational overhead, requiring further domain-expertise. Here, we introduce a token-optimized and robust Knowledge Graph-based Retrieval Augmented Generation (KG-RAG) framework by leveraging a massive biomedical KG (SPOKE) with LLMs such as Llama-2-13b, GPT-3.5-Turbo, and GPT-4, to generate meaningful biomedical text rooted in established knowledge. RESULTS: Compared to the existing RAG technique for Knowledge Graphs, the proposed method utilizes minimal graph schema for context extraction and uses embedding methods for context pruning. This optimization in context extraction results in more than 50% reduction in token consumption without compromising the accuracy, making a cost-effective and robust RAG implementation on proprietary LLMs. KG-RAG consistently enhanced the performance of LLMs across diverse biomedical prompts by generating responses rooted in established knowledge, accompanied by accurate provenance and statistical evidence (if available) to substantiate the claims. Further benchmarking on human curated datasets, such as biomedical true/false and multiple-choice questions (MCQ), showed a remarkable 71% boost in the performance of the Llama-2 model on the challenging MCQ dataset, demonstrating the framework's capacity to empower open-source models with fewer parameters for domain-specific questions. Furthermore, KG-RAG enhanced the performance of proprietary GPT models, such as GPT-3.5 and GPT-4. In summary, the proposed framework combines explicit and implicit knowledge of KG and LLM in a token optimized fashion, thus enhancing the adaptability of general-purpose LLMs to tackle domain-specific questions in a cost-effective fashion. AVAILABILITY AND IMPLEMENTATION: SPOKE KG can be accessed at https://spoke.rbvi.ucsf.edu/neighborhood.html. It can also be accessed using REST-API (https://spoke.rbvi.ucsf.edu/swagger/). KG-RAG code is made available at https://github.com/BaranziniLab/KG_RAG. Biomedical benchmark datasets used in this study are made available to the research community in the same GitHub repository."
7aa9f90a594523b3,11,OpenAlex,https://openalex.org/W3003265726,10.1109/tnnls.2021.3070843,"A Survey on Knowledge Graphs: Representation, Acquisition, and Applications","[""Shaoxiong Ji"", ""Shirui Pan"", ""Erik Cambria"", ""Pekka Marttinen"", ""Philip S. Yu""]",2021,2021-04-26,https://doi.org/10.1109/tnnls.2021.3070843,,True,2698,IEEE Transactions on Neural Networks and Learning Systems,"[""Computer science"", ""Embedding"", ""Inference"", ""Knowledge graph"", ""Knowledge representation and reasoning"", ""Knowledge acquisition"", ""Categorization"", ""Open Knowledge Base Connectivity""]",T2_fusion_intel_copilot,멀티소스 융합 인텔 코파일럿,"[""T2""]","[""T2-001""]",open source intelligence multi source fusion knowledge graph large language model,"Human knowledge provides a formal understanding of the world. Knowledge graphs that represent structural relations between entities have become an increasingly popular research direction toward cognition and human-level intelligence. In this survey, we provide a comprehensive review of the knowledge graph covering overall research topics about: 1) knowledge graph representation learning; 2) knowledge acquisition and completion; 3) temporal knowledge graph; and 4) knowledge-aware applications and summarize recent breakthroughs and perspective directions to facilitate future research. We propose a full-view categorization and new taxonomies on these topics. Knowledge graph embedding is organized from four aspects of representation space, scoring function, encoding models, and auxiliary information. For knowledge acquisition, especially knowledge graph completion, embedding methods, path inference, and logical rule reasoning are reviewed. We further explore several emerging topics, including metarelational learning, commonsense reasoning, and temporal knowledge graphs. To facilitate future research on knowledge graphs, we also provide a curated collection of data sets and open-source libraries on different tasks. In the end, we have a thorough outlook on several promising research directions."
5e06d0f9642754ac,11,OpenAlex,https://openalex.org/W4205214170,10.3390/jmse10010112,Anomaly Detection in Maritime AIS Tracks: A Review of Recent Approaches,"[""Konrad Wolsing"", ""Linus Roepert"", ""Jan Bauer"", ""Klaus Wehrle""]",2022,2022-01-14,https://doi.org/10.3390/jmse10010112,https://www.mdpi.com/2077-1312/10/1/112/pdf?version=1642404728,True,150,Journal of Marine Science and Engineering,"[""Automatic Identification System"", ""Situation awareness"", ""Anomaly detection"", ""Identification (biology)"", ""Anomaly (physics)"", ""Collision"", ""Computer science"", ""Maritime safety""]",T4_maritime_anomaly_ais,AIS 기반 해상 이상탐지 / 회색지대 조기경보,"[""T4""]","[""T4-001"", ""T4-002""]",maritime vessel trajectory anomaly detection AIS deep learning,"The automatic identification system (AIS) was introduced in the maritime domain to increase the safety of sea traffic. AIS messages are transmitted as broadcasts to nearby ships and contain, among others, information about the identification, position, speed, and course of the sending vessels. AIS can thus serve as a tool to avoid collisions and increase onboard situational awareness. In recent years, AIS has been utilized in more and more applications since it enables worldwide surveillance of virtually any larger vessel and has the potential to greatly support vessel traffic services and collision risk assessment. Anomalies in AIS tracks can indicate events that are relevant in terms of safety and also security. With a plethora of accessible AIS data nowadays, there is a growing need for the automatic detection of anomalous AIS data. In this paper, we survey 44 research articles on anomaly detection of maritime AIS tracks. We identify the tackled AIS anomaly types, assess their potential use cases, and closely examine the landscape of recent AIS anomaly research as well as their limitations."
b8ee2a66913dd86e,10,OpenAlex,https://openalex.org/W4394828356,10.1109/access.2024.3389497,"GPT (Generative Pre-Trained Transformer)— A Comprehensive Review on Enabling Technologies, Potential Applications, Emerging Challenges, and Future Directions","[""Gokul Yenduri"", ""M. Ramalingam"", ""G. Chemmalar Selvi"", ""Y. Supriya"", ""Gautam Srivastava"", ""Praveen Kumar Reddy Maddikunta"", ""G. Deepti Raj"", ""Rutvij H. Jhaveri""]",2024,2024-01-01,https://doi.org/10.1109/access.2024.3389497,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10500411.pdf,True,542,IEEE Access,"[""Computer science"", ""Transformer"", ""Architecture"", ""Natural language understanding"", ""Emerging technologies"", ""Natural language"", ""Generative grammar"", ""Artificial intelligence""]",T3_sensor_fusion_cop,센서퓨전 / 자연어 COP / C2,"[""T3""]","[""T3-001"", ""T3-003""]",multi domain command and control ontology sensor fusion,"The Generative Pre-trained Transformer (GPT) represents a notable breakthrough in the domain of natural language processing, which is propelling us toward the development of machines that can understand and communicate using language in a manner that closely resembles that of humans. GPT is based on the transformer architecture, a deep neural network designed for natural language processing tasks. Due to their impressive performance on natural language processing tasks and ability to effectively converse, GPT have gained significant popularity among researchers and industrial communities, making them one of the most widely used and effective models in natural language processing and related fields, which motivated to conduct this review. This review provides a detailed overview of the GPT, including its architecture, working process, training procedures, enabling technologies, and its impact on various applications. In this review, we also explored the potential challenges and limitations of a GPT. Furthermore, we discuss potential solutions and future directions. Overall, this paper aims to provide a comprehensive understanding of GPT, its enabling technologies, their impact on various applications, emerging challenges, and potential solutions."
0cd000346a30be56,10,OpenAlex,https://openalex.org/W4386961654,10.3390/s23198015,Exploring the Full Potentials of IoT for Better Financial Growth and Stability: A Comprehensive Survey,"[""Hanane Allioui"", ""Youssef Mourdi""]",2023,2023-09-22,https://doi.org/10.3390/s23198015,https://www.mdpi.com/1424-8220/23/19/8015/pdf?version=1695349202,True,515,Sensors,"[""Computer science"", ""Data science"", ""Risk analysis (engineering)"", ""Internet of Things"", ""Productivity"", ""Conversation"", ""Knowledge management"", ""Process management""]",T3_sustainment_logistics,지속지원 / 군수 C2 / 예측정비,"[""T3""]","[""T3-006""]",resilient military supply chain logistics optimization denied environment,"Cutting-edge technologies, with a special emphasis on the Internet of Things (IoT), tend to operate as game changers, generating enormous alterations in both traditional and modern enterprises. Understanding multiple uses of IoT has become vital for effective financial management, given the ever-changing nature of organizations and the technological disruptions that come with this paradigm change. IoT has proven to be a powerful tool for improving operational efficiency, decision-making processes, overall productivity, and data management. As a result of the continuously expanding data volume, there is an increasing demand for a robust IT system capable of adeptly handling all enterprise processes. Consequently, businesses must develop suitable IoT architectures that can efficiently address these continually evolving requirements. This research adopts an incremental explanatory approach, guided by the principles of the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA). A rigorous examination of 84 research papers has allowed us to delve deeply into the current landscape of IoT research. This research aims to provide a complete and cohesive overview of the existing body of knowledge on IoT. This is accomplished by combining a rigorous empirical approach to categorization with ideas from specialized literature in the IoT sector. This study actively contributes to the ongoing conversation around IoT by recognizing and critically examining current difficulties. This, consequently, opens new research possibilities and promotes future developments in this ever-changing sector."
0b6c1a1579d86c45,10,OpenAlex,https://openalex.org/W4390829176,10.3390/app14020675,"Balancing Privacy and Progress: A Review of Privacy Challenges, Systemic Oversight, and Patient Perceptions in AI-Driven Healthcare","[""S. Williamson"", ""Victor R. Prybutok""]",2024,2024-01-12,https://doi.org/10.3390/app14020675,https://www.mdpi.com/2076-3417/14/2/675/pdf?version=1705396255,True,487,Applied Sciences,"[""Health care"", ""Autonomy"", ""Confidentiality"", ""Transformative learning"", ""Information privacy"", ""Data sharing"", ""Data governance"", ""Corporate governance""]",X_llm_reliability_provenance,LLM 신뢰성 / citation / provenance / 평가,"[""T2"", ""T3"", ""T5""]","[""T2-001"", ""T3-001"", ""T5-002""]",LLM agents tool use evaluation provenance question answering,"Integrating Artificial Intelligence (AI) in healthcare represents a transformative shift with substantial potential for enhancing patient care. This paper critically examines this integration, confronting significant ethical, legal, and technological challenges, particularly in patient privacy, decision-making autonomy, and data integrity. A structured exploration of these issues focuses on Differential Privacy as a critical method for preserving patient confidentiality in AI-driven healthcare systems. We analyze the balance between privacy preservation and the practical utility of healthcare data, emphasizing the effectiveness of encryption, Differential Privacy, and mixed-model approaches. The paper navigates the complex ethical and legal frameworks essential for AI integration in healthcare. We comprehensively examine patient rights and the nuances of informed consent, along with the challenges of harmonizing advanced technologies like blockchain with the General Data Protection Regulation (GDPR). The issue of algorithmic bias in healthcare is also explored, underscoring the urgent need for effective bias detection and mitigation strategies to build patient trust. The evolving roles of decentralized data sharing, regulatory frameworks, and patient agency are discussed in depth. Advocating for an interdisciplinary, multi-stakeholder approach and responsive governance, the paper aims to align healthcare AI with ethical principles, prioritize patient-centered outcomes, and steer AI towards responsible and equitable enhancements in patient care."
c3f51136a6e901e9,10,OpenAlex,https://openalex.org/W4382135822,10.3390/rs15133266,Unmanned Aerial Vehicles for Search and Rescue: A Survey,"[""Mingyang Lyu"", ""Yibo Zhao"", ""Chao Huang"", ""Hailong Huang""]",2023,2023-06-25,https://doi.org/10.3390/rs15133266,https://www.mdpi.com/2072-4292/15/13/3266/pdf?version=1687686302,True,329,Remote Sensing,"[""Search and rescue"", ""Computer science"", ""Situation awareness"", ""Flexibility (engineering)"", ""Drone"", ""Task (project management)"", ""Field (mathematics)"", ""Urban search and rescue""]",T1_terrain_aware_autonomy,지형 인지형 자율성 / Terrain-aware autonomy,"[""T1""]","[""T1-002""]",terrain aware UAV path planning GPS denied environment,"In recent years, unmanned aerial vehicles (UAVs) have gained popularity due to their flexibility, mobility, and accessibility in various fields, including search and rescue (SAR) operations. The use of UAVs in SAR can greatly enhance the task success rates in reaching inaccessible or dangerous areas, performing challenging operations, and providing real-time monitoring and modeling of the situation. This article aims to help readers understand the latest progress and trends in this field by synthesizing and organizing papers related to UAV search and rescue. An introduction to the various types and components of UAVs and their importance in SAR operations is settled first. Additionally, we present a comprehensive review of sensor integrations in UAVs for SAR operations, highlighting their roles in target perception, localization, and identification. Furthermore, we elaborate on the various applications of UAVs in SAR, including on-site monitoring and modeling, perception and localization of targets, and SAR operations such as task assignment, path planning, and collision avoidance. We compare different approaches and methodologies used in different studies, assess the strengths and weaknesses of various approaches, and provide insights on addressing the research questions relating to specific UAV operations in SAR. Overall, this article presents a comprehensive overview of the significant role of UAVs in SAR operations. It emphasizes the vital contributions of drones in enhancing mission success rates, augmenting situational awareness, and facilitating efficient and effective SAR activities. Additionally, the article discusses potential avenues for enhancing the performance of UAVs in SAR."
188ca4e5bb7ca482,10,OpenAlex,https://openalex.org/W4385469325,10.1109/ojcs.2023.3300321,"A Survey on ChatGPT: AI–Generated Contents, Challenges, and Solutions","[""Yuntao Wang"", ""Yanghe Pan"", ""Miao Yan"", ""Zhou Su"", ""Tom H. Luan""]",2023,2023-01-01,https://doi.org/10.1109/ojcs.2023.3300321,https://ieeexplore.ieee.org/ielx7/8782664/9024218/10221755.pdf,True,327,IEEE Open Journal of the Computer Society,"[""Pace"", ""Computer science"", ""Key (lock)"", ""Data science"", ""Generative grammar"", ""Best practice"", ""Computer security"", ""Artificial intelligence""]",X_llm_reliability_provenance,LLM 신뢰성 / citation / provenance / 평가,"[""T2"", ""T3"", ""T5""]","[""T2-001"", ""T3-001"", ""T5-002""]",LLM agents tool use evaluation provenance question answering,"With the widespread use of large artificial intelligence (AI) models such as ChatGPT, AI-generated content (AIGC) has garnered increasing attention and is leading a paradigm shift in content creation and knowledge representation. AIGC uses generative large AI algorithms to assist or replace humans in creating massive, high-quality, and human-like content at a faster pace and lower cost, based on user-provided prompts. Despite the recent significant progress in AIGC, security, privacy, ethical, and legal challenges still need to be addressed. This paper presents an in-depth survey of working principles, security and privacy threats, state-of-the-art solutions, and future challenges of the AIGC paradigm. Specifically, we first explore the enabling technologies, general architecture of AIGC, and discuss its working modes and key characteristics. Then, we investigate the taxonomy of security and privacy threats to AIGC and highlight the ethical and societal implications of GPT and AIGC technologies. Furthermore, we review the state-of-the-art AIGC watermarking approaches for regulatable AIGC paradigms regarding the AIGC model and its produced content. Finally, we identify future challenges and open research directions related to AIGC."
