id,source,topic_id,topic_label,matched_topics,query,title,authors,year,publication_date,doi,url,is_open_access,cited_by_count,relevance_score,concepts,abstract
5eb918a6c1af041e,OpenAlex,gnss_jamming_spoofing_detection,GNSS jamming / spoofing detection and integrity,gnss_jamming_spoofing_detection,"""receiver autonomous integrity monitoring"" UAV GNSS",A GNSS Instrumentation Covert Directional Spoofing Algorithm for UAV Equipped With Tightly-Coupled GNSS/IMU,Yangjun Gao; Guangyun Li,2023,2023-01-01,10.1109/tim.2023.3240197,https://doi.org/10.1109/tim.2023.3240197,False,40,63,Spoofing attack; GNSS applications; Computer science; Inertial measurement unit; Covert; Real-time computing; Receiver autonomous integrity monitoring; GNSS augmentation; Process (computing); Global Positioning System; Computer security; Artificial intelligence,"Measurement and navigation users cannot operate without the positioning, navigation, and timing (PNT) service provided by the global navigation satellite system (GNSS) instrumentation, but users are also faced with unpredictable and complex interference and even spoofing. In order to effectively control and even counter the unmanned aerial vehicle (UAV) that may pose security threats, using the GNSS spoofing technology to counter UAV is an effective and important technical means. Compared with the existing spoofing algorithms, this article fully considers the navigation system configuration and flight control principle, as well as antispoofing module of UAV equipped, the UAV dynamic model under GNSS spoofing environment is established, and the response law of UAV state to spoofing is analyzed. In order to realize the covert directional spoofing on UAV equipped with tightly-coupled GNSS and inertial measurement unit (IMU), a GNSS covert spoofing algorithm is proposed. The algorithm includes a fixed-point four-step spoofing strategy and pays attention to avoiding the least-squares residual receiver autonomous integrity monitoring (LSR-RAIM) of UAV, so as to ensure the concealment of the deception process. Through the construction of experimental platform and experimental analysis, the effectiveness and concealment of the algorithm are verified. The experiment shows that the spoofing yaw angle error of GNSS covert directional spoofing is −0.03°. In addition, the spoofer has effectively avoided the LSR-RAIM of UAV system in the whole process, and the evasion rate has reached 100% to achieve covert spoofing. For the actual spoofing scenario application, the spoofing yaw angle error can meet the actual needs. Future work will focus on the research and design of more complex covert spoofing algorithms to meet the spoofing needs of UAV equipped with more complex navigation systems and antispoofing techniques."
20df22c0da9c6412,OpenAlex,gnss_jamming_spoofing_detection,GNSS jamming / spoofing detection and integrity,gnss_jamming_spoofing_detection,"""GNSS spoofing detection"" UAV",SemperFi: Anti-spoofing GPS Receiver for UAVs,Harshad Sathaye; Gerald LaMountain; Pau Closas; Aanjhan Ranganathan,2022,2022-01-01,10.14722/ndss.2022.23071,https://doi.org/10.14722/ndss.2022.23071,True,36,58,Global Positioning System; Spoofing attack; Computer science; Gps receiver; Assisted GPS; Real-time computing; Remote sensing; Telecommunications; Computer security; Geology,"It is well-known that GPS is vulnerable to signal spoofing attacks. Although several spoofing detection techniques exist, they are incapable of mitigation and recovery from stealthy attackers. In this work, we present SemperFi, a single antenna GPS receiver capable of tracking legitimate GPS satellite signals and estimating the true location even against strong adversaries. Our design leverages a combination of the Extended Kalman Filter based GPS failsafe mechanism built into majority of UAVs and a custom designed legitimate signal retriever module to detect and autonomously recover from majority of spoofing attacks. We develop algorithms to carefully synthesize recovery signals and extend the successive interference cancellation technique to preserve the legitimate signal's ToA, while eliminating the attacker's signal. For strong adversaries capable of stealthy and seamless takeover, SemperFi uses brief maneuvers designed to exploit the short-term stability of inertial sensors and identify stealthy spoofing attacks. We implement SemperFi in GNSS-SDR, an open-source software-defined GNSS receiver, and evaluate its performance using UAV simulators, real drones, a variety of realworld GPS datasets, as well as on various embedded platforms. Our evaluation results indicate that in many scenarios, SemperFi can identify adversarial peaks by executing flight patterns less than 100 m long and recover the true location within 0.54 s (Jetson Xavier). We show that our receiver is secure against both naive and stealthy spoofers who exploit inertial sensor errors and execute seamless takeover attacks. Furthermore, we design SemperFi as a pluggable module capable of generating a spoofer-free GPS signal for processing on any commercial-offthe-shelf GPS receiver available today. Finally, we release our implementation to the community for usage and further research."
89093559b72e3039,arXiv,gnss_jamming_spoofing_detection,GNSS jamming / spoofing detection and integrity,gnss_jamming_spoofing_detection,"""receiver autonomous integrity monitoring"" UAV GNSS",GNSS-denied geolocalization of UAVs by visual matching of onboard camera images with orthophotos,Jouko Kinnari; Francesco Verdoja; Ville Kyrki,2021,2021-03-26,,http://arxiv.org/abs/2103.14381v2,True,0,56,cs.RO,"Localization of low-cost Unmanned Aerial Vehicles (UAVs) often relies on Global Navigation Satellite Systems (GNSS). GNSS are susceptible to both natural disruptions to radio signal and intentional jamming and spoofing by an adversary. A typical way to provide georeferenced localization without GNSS for small UAVs is to have a downward-facing camera and match camera images to a map. The downward-facing camera adds cost, size, and weight to the UAV platform and the orientation limits its usability for other purposes. In this work, we propose a Monte-Carlo localization method for georeferenced localization of an UAV requiring no infrastructure using only inertial measurements, a camera facing an arbitrary direction, and an orthoimage map. We perform orthorectification of the UAV image, relying on a local planarity assumption of the environment, relaxing the requirement of downward-pointing camera. We propose a measure of goodness for the matching score of an orthorectified UAV image and a map. We demonstrate that the system is able to localize globally an UAV with modest requirements for initialization and map resolution."
92deee22c8819a96,OpenAlex,kalman_residual_integrity,Kalman residual / NIS / integrity monitoring,kalman_residual_integrity,"""normalized innovation squared"" Kalman filter fault detection",Two-Step Trajectory Spoofing Algorithm for Loosely Coupled GNSS/IMU and NIS Sequence Detection,Yangjun Gao; Zhiwei Lv; Lundong Zhang,2019,2019-01-01,10.1109/access.2019.2927539,https://doi.org/10.1109/access.2019.2927539,True,20,55,GNSS applications; Spoofing attack; Inertial measurement unit; Computer science; Trajectory; GNSS augmentation; Kalman filter; Real-time computing; Global Positioning System; Algorithm; Artificial intelligence; Computer security,"Satellite navigation spoofing has become a central issue of jamming technology research because of its serious threat and ability to conceal itself. Increasingly, targets are equipped with more robust GNSS/IMU systems and normalized innovation squared (NIS) is used to detect interference. Therefore, it is harder to implement covert trajectory spoofing on a GNSS/IMU system than a GNSS-only target. In practice, spoofing is needed to control unknown targets. Therefore, covert trajectory spoofing for GNSS/IMU targets is an important issue. Hence, using the information fusion of a GNSS/IMU system, the influence of spoofing on loosely coupled GNSS/IMU positioning is derived. To avoid ill-posed equations when introducing a measurement deviation, a Kalman gain matrix local regularization method is proposed to accurately determine the measurement deviation. To avoid triggering the NIS detection alarm, the range that enables the introduced measurement deviation to remain concealed is calculated. Then, a two-step trajectory guidance algorithm is proposed to quickly guide the target onto the spoofing trajectory. The simulation results show that the proposed trajectory spoofing algorithm can guide a loosely coupled GNSS/IMU target along a spoofing trajectory without triggering the NIS detection alarm. The proposed method can remain concealed and has good theoretical and practical application value."
a4a03716df905521,OpenAlex,semantic_communications_uav_edge,Semantic communications for UAV / edge,semantic_communications_uav_edge,"""semantic communication"" ""Internet of Drones""","Urban Digital Twins for Sustainable Smart Cities: A Systematic Literature Review of UAV-Assisted MEC, Federated Intelligence, and Semantic Communications",Ahmad Arsalan; Tariq Umer; Kai Fang; Thippa Reddy Gadekallu,2026,2026-01-27,10.36227/techrxiv.176948217.76093650/v1,https://doi.org/10.36227/techrxiv.176948217.76093650/v1,True,0,54,Computer science; Systematic review; Scalability; Software deployment; Semantic Web; Mobile device; World Wide Web; Leverage (statistics); Key (lock); Data science; Semantics (computer science); Semantic technology,"Digital twin assisted mobile edge computing is emerging as a key enabler for sustainable city services that require low latency, energy efficiency, and resilient unmanned aerial vehicle and Internet of Things operation. These technologies promote urban sustainability by reducing energy/bandwidth overhead, strengthening resilience under mobility, and supporting equitable services through privacy-preserving coordination. However, prior work is fragmented across twin design, UAV enabled edge architectures, task offloading and scheduling, service migration, federated learning, federated reinforcement learning, and semantic communication. This systematic literature review organizes the literature with a digital twin centric taxonomy that captures digital twin role, paired object, synchronization strategy, deployment style, decision scope, learning paradigm, and semantic data handling. We consolidate evidence by function and compare objectives, metrics, and deployment realism. Key findings show that predictive and control in the loop twins enable feasibility aware offloading and proactive migration, but benefits depend on disciplined synchronization under limited control plane budgets. Federated intelligence supports scalable coordination yet is constrained by non IID data, client churn, and communication overhead, which motivates hierarchical federation and semantics aware update reduction. Semantic communication further reduces bandwidth by transmitting task relevant meaning and supporting fidelity controlled transmission and selective learning updates. We conclude with open challenges for city scale deployment, including uncertainty aware prediction, joint offloading migration control, scalable multi twin coordination, standardized semantic metrics, and reproducible evaluation with realistic mobility, channel, and energy models."
de3715b6b61f4d63,OpenAlex,gnss_jamming_spoofing_detection,GNSS jamming / spoofing detection and integrity,gnss_jamming_spoofing_detection; kalman_residual_integrity,"""GPS spoofing detection"" inertial measurement unit",A Slowly Varying Spoofing Algorithm Avoiding Tightly-Coupled GNSS/IMU With Multiple Anti-Spoofing Techniques,Yangjun Gao; Guangyun Li,2022,2022-05-11,10.1109/tvt.2022.3174406,https://doi.org/10.1109/tvt.2022.3174406,True,36,51,Spoofing attack; GNSS applications; Inertial measurement unit; Computer science; GNSS augmentation; Real-time computing; Algorithm; Global Positioning System; Artificial intelligence; Computer security; Telecommunications,"Vehicle and airborne navigation users are facing more and more complex signal interference and even spoofing. If vehicles and aircraft do not strengthen their anti-spoofing ability, their navigation performance is bound to be adversely affected. global navigation satellite system (GNSS) spoofing technology has gradually become a preferred interference method for spoofer because of its high concealment and great harm. For spoofer, user terminal increasingly adopts GNSS with inertial measurement unit (IMU): tightly-coupled GNSS/IMU, on this basis, user also configures a variety of anti-spoofing techniques to effectively deal with spoofing. Even if spoofer slowly changes user's positioning, if spoofing strategy is unreasonable, it will lead to the violation of parameter rationality of coupled filter output parameters and spoofing observation, which greatly increases the difficulty of spoofing. In view of the above problems, from the perspective of spoofer, in order to effectively counter the non cooperative target of assembling tightly-coupled GNSS/IMU by using GNSS spoofing, this paper establishes GNSS spoofing mathematical model, and proposes a slowly varying spoofing algorithm to avoid tightly-coupled GNSS/IMU with multiple anti-spoofing techniques based on the analysis of the influence mechanism of spoofing on the positioning of tightly-coupled GNSS/IMU, the algorithm proposes a measurement deviation determination method to avoid a variety of anti-spoofing techniques, which can gradually pull the positioning results of coupled system, and successfully avoid anti-spoofing techniques detection of least squares residual receiver autonomous integrity monitoring (RAIM) and parameter rationality check. The experimental results show that the algorithm can gradually change positioning of tightly-coupled GNSS/IMU within 30 s, and the north, east and down displacements basically achieve the spoofing effect, the errors with the expected offset are −0.5 m, 1.9 m and 12.7 m respectively. At the same time, the detection of the above anti-spoofing techniques is avoided. The mean value of test statistics for tightly-coupled system is reduced by 75.4% and does not exceed the alarm threshold, so as to achieve the purpose of spoofing, the effectiveness and high concealment of the spoofing algorithm are proved."
437858fec455dbc0,OpenAlex,gnss_jamming_spoofing_detection,GNSS jamming / spoofing detection and integrity,anti_jamming_resilient_uav_comms; gnss_jamming_spoofing_detection,"""GPS spoofing detection"" inertial measurement unit",Detecting Signal Spoofing Attack in UAVs Using Machine Learning Models,Arslan Shafique; Abid Mehmood; Mourad Elhadef,2021,2021-01-01,10.1109/access.2021.3089847,https://doi.org/10.1109/access.2021.3089847,True,115,50,Spoofing attack; Jitter; Computer science; Artificial intelligence; Machine learning; SIGNAL (programming language); Real-time computing; Computer network; Telecommunications; Programming language,"Due to the tremendous advancement in interactive multimedia systems and technologies, security has become a major aspect. Advanced technology can be utilized for hacking autonomous systems like Unmanned Aerial vehicles (UAVs) in different ways such as spoofing and jamming. It can be spoofed by the injection of fake signals into the sensors. For the protection of the UAVs from the Global Positioning System (GPS) signal spoofing attack, we propose a new methodology by incorporating a machine learning (ML) algorithm such as Support Vector Machine (SVM). A detailed analysis of several learning algorithms is also carried out to choose the suitable learning algorithm for the proposed work. Once the suitable ML algorithm is selected, we perform K-fold analyses to develop other learning models by choosing different values of K-folds thus we called them K-learning models. The purpose of developing K-learning models is to apply voting techniques to the developed K-learning models. Moreover, the signal features used in the proposed work are jitter, jitter (absolute), jitter (local), jitter (RAP), jitter (ppq5), shimmer, shimmer (local), shimmer (dB), shimmer (apq3), shimmer (apq5) and frequency modulation. Based on these features of the signal, we train our proposed model for the detection of counterfeit GPS signals. To gauge the performance of the proposed model, we perform different experimentation analyses such as accuracy, precision, recall, and F1-score. The results and analysis show the effectiveness of the proposed work over existing techniques."
b8353b58988ee2e4,OpenAlex,gnss_jamming_spoofing_detection,GNSS jamming / spoofing detection and integrity,gnss_jamming_spoofing_detection; uav_sensor_fusion_tracking,"""GPS spoofing detection"" inertial measurement unit","Gnss-denied unmanned aerial vehicle navigation: analyzing computational complexity, sensor fusion, and localization methodologies",Imen Jarraya; Abdulrahman Al-Batati; Muhammad Bilal Kadri; Mohamed Abdelkader; Adel Ammar; Wadii Boulila; Anis Koubâa,2025,2025-04-06,10.1186/s43020-025-00162-z,https://doi.org/10.1186/s43020-025-00162-z,True,59,49,GNSS applications; Computer science; Sensor fusion; Computer vision; Air navigation; Artificial intelligence; Fusion; Remote sensing; Geography; Global Positioning System; Telecommunications; Linguistics,"Abstract Navigation without Global Navigation Satellite Systems (GNSS) poses a significant challenge in aerospace engineering, particularly in the environments where satellite signals are obstructed or unavailable. This paper offers an in-depth review of various methods, sensors, and algorithms for Unmanned Aerial Vehicle (UAV) localization in outdoor environments where GNSS signals are unavailable or denied. A key contribution of this study is the establishment of a critical classification system that divides GNSS-denied navigation techniques into two primary categories: absolute and relative localization. This classification enhances the understanding of the strengths and weaknesses of different strategies in various operational contexts. Vision-based localization is identified as the most effective approach in GNSS-denied environments. Nonetheless, it’s clear that no single-sensor-based localization algorithm can fulfill all the needs of a comprehensive navigation system in outdoor environments. Therefore, it’s vital to implement a hybrid strategy that merges various algorithms and sensors for effective outcomes. This detailed analysis emphasizes the challenges and possible solutions for achieving reliable and effective outdoor UAV localization in environments where GNSS is unreliable or unavailable. This multi-faceted analysis, highlights the complexities and potential pathways for achieving efficient and dependable outdoor UAV localization in GNSS-denied environments."
aaac0d61b25d7968,OpenAlex,uav_gnss_denied_navigation,UAV GNSS-denied navigation,uav_gnss_denied_navigation,"""UAV"" ""GNSS-denied"" navigation survey","Tight Fusion of a Monocular Camera, MEMS-IMU, and Single-Frequency Multi-GNSS RTK for Precise Navigation in GNSS-Challenged Environments",Tuan Li; Hongping Zhang; Zhouzheng Gao; Xiaoji Niu; Naser El‐Sheimy,2019,2019-03-13,10.3390/rs11060610,https://doi.org/10.3390/rs11060610,True,141,48,GNSS applications; Computer science; Inertial measurement unit; Kalman filter; Extended Kalman filter; Air navigation; Inertial navigation system; Sensor fusion; Satellite system; GNSS augmentation; Computer vision; Remote sensing,"Precise position, velocity, and attitude is essential for self-driving cars and unmanned aerial vehicles (UAVs). The integration of global navigation satellite system (GNSS) real-time kinematics (RTK) and inertial measurement units (IMUs) is able to provide high-accuracy navigation solutions in open-sky conditions, but the accuracy will be degraded severely in GNSS-challenged environments, especially integrated with the low-cost microelectromechanical system (MEMS) IMUs. In order to navigate in GNSS-denied environments, the visual–inertial system has been widely adopted due to its complementary characteristics, but it suffers from error accumulation. In this contribution, we tightly integrate the raw measurements from the single-frequency multi-GNSS RTK, MEMS-IMU, and monocular camera through the extended Kalman filter (EKF) to enhance the navigation performance in terms of accuracy, continuity, and availability. The visual measurement model from the well-known multistate constraint Kalman filter (MSCKF) is combined with the double-differenced GNSS measurement model to update the integration filter. A field vehicular experiment was carried out in GNSS-challenged environments to evaluate the performance of the proposed algorithm. Results indicate that both multi-GNSS and vision contribute significantly to the centimeter-level positioning availability in GNSS-challenged environments. Meanwhile, the velocity and attitude accuracy can be greatly improved by using the tightly-coupled multi-GNSS RTK/INS/Vision integration, especially for the yaw angle."
c86f667c55bb51ef,OpenAlex,semantic_communications_uav_edge,Semantic communications for UAV / edge,semantic_communications_uav_edge,"""semantic communications"" unmanned aerial vehicle","Distributed Machine Learning for UAV Swarms: Computing, Sensing, and Semantics",Yahao Ding; Zhaohui Yang; Quoc‐Viet Pham; Ye Hu; Zhaoyang Zhang; Mohammad Shikh‐Bahaei,2023,2023-12-11,10.1109/jiot.2023.3341307,https://doi.org/10.1109/jiot.2023.3341307,False,76,48,Computer science; Swarm behaviour; Reinforcement learning; Distributed computing; Wireless; Drone; Open research; Flexibility (engineering); Wireless sensor network; Artificial intelligence; Real-time computing; Computer network,"The unmanned aerial vehicle (UAV) swarms have shown great potential to serve next-generation communication networks with their extraordinary flexibility, affordability, and the ability to collaboratively and autonomously provide Line-of-Sight (LoS) services. However, autonomous collaboration under wireless dynamics is challenging. Distributed learning (DL) provides a chance for the UAV swarms to operate intelligently under sophisticated dynamics, such that they can be applied to wireless communication service scenarios, as well as applications including multidirectional remote surveillance, and target tracking. In this survey, we first introduce several popular DL frameworks that are capable of managing a UAV swarm, these include federated learning (FL), multiagent reinforcement learning (MARL), distributed inference (DI), and split learning (SL). We also present a comprehensive overview of how these DL frameworks manage UAV swarms in regard to trajectory design, power control, wireless resource allocation, user assignment, perception, and satellite–drone integration. Then, we present several state-of-the-art applications of UAV swarms in wireless communication systems, such as reconfigurable intelligent surfaces (RISs), virtual reality (VR), and semantic communications (SemComs), and discuss the problems and challenges that DL-enabled UAV swarms can solve in these applications. Finally, we describe open problems of using DL in UAV swarms and future research directions of DL-enabled UAV swarms. In summary, this survey provides a concise survey of various DL applications for UAV swarms in extensive scenarios."
