source_type,source_id,target_type,target_id,relationship
DroneAsset,uav_s1,SemanticEvent,evt_uav_s1_status_summary,asset_emits_event
SimulationCase,case_a_normal,SemanticEvent,evt_uav_s1_status_summary,case_contains_event
SemanticEvent,evt_uav_s1_status_summary,RawObservation,obs_status_001,event_evidenced_by
DroneAsset,uav_s1,SemanticEvent,evt_uav_s1_link_degraded,asset_emits_event
SimulationCase,case_b_link_degraded,SemanticEvent,evt_uav_s1_link_degraded,case_contains_event
SimulationCase,case_c_gnss_jamming_suspected,SemanticEvent,evt_uav_s1_link_degraded,case_contains_event
SimulationCase,case_d_spoofing_like_inconsistency,SemanticEvent,evt_uav_s1_link_degraded,case_contains_event
SemanticEvent,evt_uav_s1_link_degraded,RawObservation,obs_link_014,event_evidenced_by
DroneAsset,uav_s1,SemanticEvent,evt_uav_s1_gnss_degraded,asset_emits_event
SimulationCase,case_c_gnss_jamming_suspected,SemanticEvent,evt_uav_s1_gnss_degraded,case_contains_event
SemanticEvent,evt_uav_s1_gnss_degraded,RawObservation,obs_gnss_012,event_evidenced_by
SemanticEvent,evt_uav_s1_gnss_degraded,RawObservation,obs_weather_020,event_evidenced_by
DroneAsset,uav_s1,SemanticEvent,evt_uav_s1_jamming_suspected,asset_emits_event
SimulationCase,case_c_gnss_jamming_suspected,SemanticEvent,evt_uav_s1_jamming_suspected,case_contains_event
SemanticEvent,evt_uav_s1_jamming_suspected,RawObservation,obs_gnss_012,event_evidenced_by
SemanticEvent,evt_uav_s1_jamming_suspected,RawObservation,obs_link_014,event_evidenced_by
SemanticEvent,evt_uav_s1_jamming_suspected,RawObservation,obs_imu_011,event_evidenced_by
SemanticEvent,evt_uav_s1_jamming_suspected,EdgeDetection,det_nav_residual_001,event_evidenced_by
SemanticEvent,evt_uav_s1_jamming_suspected,JammingHypothesis,jam_hyp_uav_s1_001,event_evidenced_by
DroneAsset,uav_s1,SemanticEvent,evt_uav_s1_spoofing_suspected,asset_emits_event
SimulationCase,case_d_spoofing_like_inconsistency,SemanticEvent,evt_uav_s1_spoofing_suspected,case_contains_event
SemanticEvent,evt_uav_s1_spoofing_suspected,RawObservation,obs_spoofing_like_021,event_evidenced_by
SemanticEvent,evt_uav_s1_spoofing_suspected,RawObservation,obs_imu_011,event_evidenced_by
SemanticEvent,evt_uav_s1_spoofing_suspected,EdgeDetection,det_nav_residual_002,event_evidenced_by
SemanticEvent,evt_uav_s1_spoofing_suspected,JammingHypothesis,jam_hyp_uav_s1_002,event_evidenced_by
DroneAsset,uav_s1,SemanticEvent,evt_uav_s1_rejoin_audit_required,asset_emits_event
SimulationCase,case_e_rejoin_audit,SemanticEvent,evt_uav_s1_rejoin_audit_required,case_contains_event
SemanticEvent,evt_uav_s1_rejoin_audit_required,RawObservation,obs_eoir_001,event_evidenced_by
SemanticEvent,evt_uav_s1_rejoin_audit_required,RawObservation,obs_gnss_012,event_evidenced_by
SemanticEvent,evt_uav_s1_rejoin_audit_required,RawObservation,obs_link_014,event_evidenced_by
SemanticEvent,evt_uav_s1_status_summary,SemanticPacket,sdot_uav_s1_status_summary,event_encoded_as_packet
DroneAsset,uav_s1,SemanticPacket,sdot_uav_s1_status_summary,asset_has_packet
SemanticEvent,evt_uav_s1_link_degraded,SemanticPacket,sdot_uav_s1_link_degraded,event_encoded_as_packet
DroneAsset,uav_s1,SemanticPacket,sdot_uav_s1_link_degraded,asset_has_packet
SemanticEvent,evt_uav_s1_gnss_degraded,SemanticPacket,sdot_uav_s1_gnss_degraded,event_encoded_as_packet
DroneAsset,uav_s1,SemanticPacket,sdot_uav_s1_gnss_degraded,asset_has_packet
SemanticEvent,evt_uav_s1_jamming_suspected,SemanticPacket,sdot_uav_s1_jamming_suspected,event_encoded_as_packet
DroneAsset,uav_s1,SemanticPacket,sdot_uav_s1_jamming_suspected,asset_has_packet
SemanticEvent,evt_uav_s1_spoofing_suspected,SemanticPacket,sdot_uav_s1_spoofing_suspected,event_encoded_as_packet
DroneAsset,uav_s1,SemanticPacket,sdot_uav_s1_spoofing_suspected,asset_has_packet
SemanticEvent,evt_uav_s1_rejoin_audit_required,SemanticPacket,sdot_uav_s1_rejoin_audit_required,event_encoded_as_packet
DroneAsset,uav_s1,SemanticPacket,sdot_uav_s1_rejoin_audit_required,asset_has_packet
DroneAsset,uav_s1,RawObservation,obs_status_001,asset_has_observation
DroneAsset,uav_s1,RawObservation,obs_eoir_001,asset_has_observation
DroneAsset,uav_s1,RawObservation,obs_gnss_012,asset_has_observation
DroneAsset,uav_s1,RawObservation,obs_link_014,asset_has_observation
DroneAsset,uav_s1,RawObservation,obs_imu_011,asset_has_observation
DroneAsset,uav_s1,RawObservation,obs_spoofing_like_021,asset_has_observation
DroneAsset,uav_s1,RawObservation,obs_weather_020,asset_has_observation
DroneAsset,uav_s1,EdgeDetection,det_nav_residual_001,asset_has_detection
EdgeDetection,det_nav_residual_001,RawObservation,obs_gnss_012,detection_uses_observation
EdgeDetection,det_nav_residual_001,RawObservation,obs_link_014,detection_uses_observation
EdgeDetection,det_nav_residual_001,RawObservation,obs_imu_011,detection_uses_observation
DroneAsset,uav_s1,EdgeDetection,det_nav_residual_002,asset_has_detection
EdgeDetection,det_nav_residual_002,RawObservation,obs_spoofing_like_021,detection_uses_observation
EdgeDetection,det_nav_residual_002,RawObservation,obs_imu_011,detection_uses_observation
DroneAsset,uav_s1,JammingHypothesis,jam_hyp_uav_s1_001,asset_has_hypothesis
DroneAsset,uav_s1,JammingHypothesis,jam_hyp_uav_s1_002,asset_has_hypothesis
SimulationCase,case_a_normal,CaseEvaluation,eval_case_a_normal,case_has_evaluation
SimulationCase,case_b_link_degraded,CaseEvaluation,eval_case_b_link_degraded,case_has_evaluation
SimulationCase,case_c_gnss_jamming_suspected,CaseEvaluation,eval_case_c_gnss_jamming_suspected,case_has_evaluation
SimulationCase,case_d_spoofing_like_inconsistency,CaseEvaluation,eval_case_d_spoofing_like_inconsistency,case_has_evaluation
SimulationCase,case_e_rejoin_audit,CaseEvaluation,eval_case_e_rejoin_audit,case_has_evaluation
SimulationCase,case_a_normal,CaseEvaluationPoint,eval_point_case_a_normal_000,case_has_eval_point
SimulationCase,case_a_normal,CaseEvaluationPoint,eval_point_case_a_normal_010,case_has_eval_point
SimulationCase,case_a_normal,CaseEvaluationPoint,eval_point_case_a_normal_020,case_has_eval_point
SimulationCase,case_a_normal,CaseEvaluationPoint,eval_point_case_a_normal_030,case_has_eval_point
SimulationCase,case_a_normal,CaseEvaluationPoint,eval_point_case_a_normal_040,case_has_eval_point
SimulationCase,case_a_normal,CaseEvaluationPoint,eval_point_case_a_normal_050,case_has_eval_point
SimulationCase,case_a_normal,CaseEvaluationPoint,eval_point_case_a_normal_060,case_has_eval_point
SimulationCase,case_a_normal,CaseEvaluationPoint,eval_point_case_a_normal_070,case_has_eval_point
SimulationCase,case_a_normal,CaseEvaluationPoint,eval_point_case_a_normal_080,case_has_eval_point
SimulationCase,case_a_normal,CaseEvaluationPoint,eval_point_case_a_normal_090,case_has_eval_point
SimulationCase,case_a_normal,CaseEvaluationPoint,eval_point_case_a_normal_100,case_has_eval_point
SimulationCase,case_a_normal,CaseEvaluationPoint,eval_point_case_a_normal_110,case_has_eval_point
SimulationCase,case_a_normal,CaseEvaluationPoint,eval_point_case_a_normal_120,case_has_eval_point
SimulationCase,case_b_link_degraded,CaseEvaluationPoint,eval_point_case_b_link_degraded_000,case_has_eval_point
SimulationCase,case_b_link_degraded,CaseEvaluationPoint,eval_point_case_b_link_degraded_010,case_has_eval_point
SimulationCase,case_b_link_degraded,CaseEvaluationPoint,eval_point_case_b_link_degraded_020,case_has_eval_point
SimulationCase,case_b_link_degraded,CaseEvaluationPoint,eval_point_case_b_link_degraded_030,case_has_eval_point
