scenario_id,subcomponent_id,label,type,unit,import_dependency,daily_demand_units,effective_inventory_units,net_burn_units_per_day,survival_days_p10,survival_days_likely,survival_days_p90,linked_component_ids,verification_need
baseline,camera_cmos,CMOS imaging sensor,sensor,ea,critical,3499.7,20648,3499.7,3.8,5.9,8.3,camera_module,"sensor module supply, lens/ISP integration, and alternate camera BOM"
baseline,rf_chip_saw,RF chip and SAW filter kit,rf_chip,kit,critical,14998.5,100490,14998.5,4.3,6.7,9.5,rx_antenna_set | vtx_module,"RF chipset, SAW filter, certification, and fiber variant substitution option"
baseline,imu_sensor,IMU sensor,sensor,ea,critical,3499.7,25898,3499.7,4.7,7.4,10.5,flight_controller,"gyro/accelerometer availability, calibration compatibility, and alternate source"
baseline,mcu_kit,MCU kit,chip,ea,critical,6999.4,55995,6999.4,5.1,8.0,11.3,esc_4in1 | flight_controller,"alternate MCU qualification, firmware porting, dry-pack/FIFO stock policy"
baseline,ndfeb_magnet,NdFeB magnet,magnet,ea_equivalent,critical,55994.4,587941,55994.4,6.7,10.5,14.9,motor_bldc_fpv,"finished magnet count, grade, coating, and domestic raw rare-earth dependency"
baseline,bearing_set,Bearing set,mechanical,ea,medium,13998.6,195980,13998.6,9.0,14.0,19.9,motor_bldc_fpv,"bearing spec, QA, and lubricant/steel stock"
baseline,fet_set,FET set,power_semiconductor,set,high,3499.7,55295,3499.7,10.1,15.8,22.5,esc_4in1,"low-voltage FET stock, package compatibility, and heat/current margin"
baseline,fiber_module_chip,Fiber module electronics,optoelectronics,kit,medium,350.0,5565,350.0,10.2,15.9,22.6,fiber_comm_module,"opto module stock, connector package, and spool interface"
baseline,bms_ic,BMS IC,chip,ea,high,0.0,0,0.0,14.2,999,31.5,,"BMS IC stock, firmware, pack safety certification, and connector standard"
western_axis_threat,mcu_kit,MCU kit,chip,ea,critical,6999.4,53195,6999.4,4.9,7.6,10.8,esc_4in1 | flight_controller,"alternate MCU qualification, firmware porting, dry-pack/FIFO stock policy"
western_axis_threat,rf_chip_saw,RF chip and SAW filter kit,rf_chip,kit,critical,14998.5,152985,14998.5,6.6,10.2,14.5,rx_antenna_set | vtx_module,"RF chipset, SAW filter, certification, and fiber variant substitution option"
western_axis_threat,camera_cmos,CMOS imaging sensor,sensor,ea,critical,3499.7,36747,3499.7,6.8,10.5,15.0,camera_module,"sensor module supply, lens/ISP integration, and alternate camera BOM"
western_axis_threat,imu_sensor,IMU sensor,sensor,ea,critical,3499.7,38497,3499.7,7.0,11.0,15.6,flight_controller,"gyro/accelerometer availability, calibration compatibility, and alternate source"
western_axis_threat,fet_set,FET set,power_semiconductor,set,high,3499.7,41996,3499.7,7.7,12.0,17.1,esc_4in1,"low-voltage FET stock, package compatibility, and heat/current margin"
western_axis_threat,fiber_module_chip,Fiber module electronics,optoelectronics,kit,medium,350.0,5320,350.0,9.7,15.2,21.5,fiber_comm_module,"opto module stock, connector package, and spool interface"
western_axis_threat,ndfeb_magnet,NdFeB magnet,magnet,ea_equivalent,critical,55994.4,901510,55994.4,10.3,16.1,22.8,motor_bldc_fpv,"finished magnet count, grade, coating, and domestic raw rare-earth dependency"
western_axis_threat,bearing_set,Bearing set,mechanical,ea,medium,13998.6,246375,13998.6,11.3,17.6,25.0,motor_bldc_fpv,"bearing spec, QA, and lubricant/steel stock"
western_axis_threat,bms_ic,BMS IC,chip,ea,high,0.0,0,0.0,13.6,999,30.2,,"BMS IC stock, firmware, pack safety certification, and connector standard"
southern_port_disruption,imu_sensor,IMU sensor,sensor,ea,critical,3499.7,18548,3499.7,3.4,5.3,7.5,flight_controller,"gyro/accelerometer availability, calibration compatibility, and alternate source"
southern_port_disruption,rf_chip_saw,RF chip and SAW filter kit,rf_chip,kit,critical,14998.5,110989,14998.5,4.7,7.4,10.5,rx_antenna_set | vtx_module,"RF chipset, SAW filter, certification, and fiber variant substitution option"
southern_port_disruption,fet_set,FET set,power_semiconductor,set,high,3499.7,30097,3499.7,5.5,8.6,12.2,esc_4in1,"low-voltage FET stock, package compatibility, and heat/current margin"
southern_port_disruption,camera_cmos,CMOS imaging sensor,sensor,ea,critical,3499.7,37447,3499.7,6.9,10.7,15.2,camera_module,"sensor module supply, lens/ISP integration, and alternate camera BOM"
southern_port_disruption,bearing_set,Bearing set,mechanical,ea,medium,13998.6,159584,13998.6,7.3,11.4,16.2,motor_bldc_fpv,"bearing spec, QA, and lubricant/steel stock"
southern_port_disruption,fiber_module_chip,Fiber module electronics,optoelectronics,kit,medium,350.0,4060,350.0,7.4,11.6,16.4,fiber_comm_module,"opto module stock, connector package, and spool interface"
southern_port_disruption,mcu_kit,MCU kit,chip,ea,critical,6999.4,97292,6999.4,8.9,13.9,19.8,esc_4in1 | flight_controller,"alternate MCU qualification, firmware porting, dry-pack/FIFO stock policy"
southern_port_disruption,ndfeb_magnet,NdFeB magnet,magnet,ea_equivalent,critical,55994.4,873513,55994.4,10.0,15.6,22.1,motor_bldc_fpv,"finished magnet count, grade, coating, and domestic raw rare-earth dependency"
southern_port_disruption,bms_ic,BMS IC,chip,ea,high,0.0,0,0.0,7.3,999,16.1,,"BMS IC stock, firmware, pack safety certification, and connector standard"
