scenario_id,route_id,route_type,material_id,material_label,source_name,origin_port_name,destination_port_name,port_name,target_factory_id,target_factory_name,target_part_category,quantity_kg_30d,import_capacity_kg_30d,distance_nm,distance_km,duration_hours_estimate,duration_min,risk_score,fuel_liters_per_trip,driver_hours_per_trip,estimated_trip_cost_krw,routing_provider,status,routing_status,route_geometry_source,route_geometry_points,route_road_summary,routing_note
baseline,sea_baseline_src_jp_maizuru_magnets_port_donghae,maritime_import,ndfeb_magnet_feedstock,,Japan west-coast magnet buffer,Maizuru,Donghae Port,,,,,,3877,325.7,,21.0,,0.167,,,,,east_sea_preferred,maritime_corridor_estimate,coastal_waypoint_corridor_v0.2,5,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance."
baseline,sea_baseline_src_jp_niigata_battery_port_donghae,maritime_import,lithium_battery_feedstock,,Japan Sea battery-material buffer,Niigata,Donghae Port,,,,,,11206,474.2,,30.6,,0.225,,,,,east_sea_preferred,maritime_corridor_estimate,coastal_waypoint_corridor_v0.2,5,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance."
baseline,sea_baseline_src_jp_kitakyushu_electronics_port_busan,maritime_import,copper_electronics_feedstock,,Kyushu electronics and copper buffer,Kitakyushu,Busan Port,,,,,,6904,117.1,,7.6,,0.199,,,,,southern_port_link,maritime_corridor_estimate,coastal_waypoint_corridor_v0.2,5,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance."
baseline,sea_baseline_src_jp_nagoya_composite_port_ulsan,maritime_import,lightweight_airframe_feedstock,,Chubu composite and light-metal buffer,Nagoya,Ulsan Port,,,,,,13214,528.7,,34.1,,0.233,,,,,southern_port_link,maritime_corridor_estimate,coastal_waypoint_corridor_v0.2,8,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance."
baseline,sea_baseline_src_jp_yokohama_optics_port_pohang,maritime_import,optical_sensor_components,,Kanto optics and imaging buffer,Yokohama,Pohang Port,,,,,,1267,685.0,,44.2,,0.133,,,,,east_sea_preferred,maritime_corridor_estimate,coastal_waypoint_corridor_v0.2,9,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance."
baseline,sea_baseline_src_jp_kobe_polymers_port_busan,maritime_import,industrial_polymers_packaging,,Kansai industrial polymer buffer,Kobe,Busan Port,,,,,,8126,333.3,,21.5,,0.211,,,,,southern_port_link,maritime_corridor_estimate,coastal_waypoint_corridor_v0.2,7,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance."
baseline,matroad_baseline_ndfeb_magnet_feedstock_port_donghae_fac_e67713f287_1,port_to_factory_material,ndfeb_magnet_feedstock,NdFeB,,,,Donghae Port,fac_e67713f287,(주)에스씨디,propulsion,378,,,218.7,,187.9,,33.6,3.13,144900,OSRM public demo server,import-to-factory,routed,,47,65 / 동해고속도로 42.2km → 영동고속도로 105.2km → 52 / 광주원주고속도로 32.1km → 37 / 여양로 5.8km → 37 / 개군로 5.9km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_ndfeb_magnet_feedstock_port_donghae_fac_6884b83922_2,port_to_factory_material,ndfeb_magnet_feedstock,NdFeB,,,,Donghae Port,fac_6884b83922,(주)원진일렉트로닉스,propulsion,372,,,233.5,,193.0,,35.9,3.22,151100,OSRM public demo server,import-to-factory,routed,,47,unnamed road 3.5km → 7 / 동해대로 2.2km → 65 / 동해고속도로 42.2km → 영동고속도로 105.2km → 52 / 광주원주고속도로 54.9km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_ndfeb_magnet_feedstock_port_donghae_fac_083c0288da_3,port_to_factory_material,ndfeb_magnet_feedstock,NdFeB,,,,Donghae Port,fac_083c0288da,대화기전(주),propulsion,359,,,221.9,,179.0,,34.1,2.98,141600,OSRM public demo server,import-to-factory,routed,,46,"unnamed road 2.2km → 7 / 동해대로 2.2km → 65 / 동해고속도로 42.2km → 50: 서울, 원주 1.9km → 영동고속도로 105.2km",Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_ndfeb_magnet_feedstock_port_donghae_fac_496dda5a33_4,port_to_factory_material,ndfeb_magnet_feedstock,NdFeB,,,,Donghae Port,fac_496dda5a33,(주)에스피지,propulsion,340,,,262.3,,212.8,,40.4,3.55,167900,OSRM public demo server,import-to-factory,routed,,55,"unnamed road 3.3km → 7 / 동해대로 2.2km → 65 / 동해고속도로 42.2km → 50: 서울, 원주 1.9km → 영동고속도로 105.2km",Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_lithium_battery_feedstock_port_donghae_fac_c788629a58_1,port_to_factory_material,lithium_battery_feedstock,Battery,,,,Donghae Port,fac_c788629a58,SK이노베이션(주),power,2876,,,337.0,,269.4,,51.8,4.49,213900,OSRM public demo server,import-to-factory,routed,,67,65 / 동해고속도로 42.2km → 영동고속도로 173.2km → 50 / 영동고속도로 9.4km → 400 / 수도권제2순환고속도로 35.1km → 15 / 서해안고속도로 50.5km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_lithium_battery_feedstock_port_donghae_fac_40abaf57ad_2,port_to_factory_material,lithium_battery_feedstock,Battery,,,,Donghae Port,fac_40abaf57ad,(주)엘지화학,power,2693,,,378.8,,317.6,,58.3,5.29,247300,OSRM public demo server,import-to-factory,routed,,45,38; 28 / 강원남부로 17.5km → 38 / 강원남로 41.0km → 31; 38; 59 / 강원남로 26.6km → 38 / 북부로 17.7km → 40 / 평택제천고속도로 37.6km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_lithium_battery_feedstock_port_donghae_fac_1a38150c72_3,port_to_factory_material,lithium_battery_feedstock,Battery,,,,Donghae Port,fac_1a38150c72,지에스피(주),power,2328,,,194.6,,161.2,,29.9,2.69,126100,OSRM public demo server,import-to-factory,routed,,42,"unnamed road 2.2km → 7 / 동해대로 2.2km → 65 / 동해고속도로 42.2km → 50: 서울, 원주 1.9km → 영동고속도로 105.2km",Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_lithium_battery_feedstock_port_donghae_fac_167cd638df_4,port_to_factory_material,lithium_battery_feedstock,Battery,,,,Donghae Port,fac_167cd638df,(주)아이거텍알에프,power,2282,,,252.0,,201.7,,38.8,3.36,160000,OSRM public demo server,import-to-factory,routed,,50,7 / 동해대로 2.2km → 65 / 동해고속도로 42.2km → 영동고속도로 105.2km → 52 / 광주원주고속도로 54.9km → 37 / 제2중부고속도로 14.0km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_copper_electronics_feedstock_port_busan_fac_3215491325_1,port_to_factory_material,copper_electronics_feedstock,Copper/PCB,,,,Busan Port,fac_3215491325,대한전선(주),harness,561,,,347.2,,271.3,,53.4,4.52,217400,OSRM public demo server,import-to-factory,routed,,43,55 / 대구부산고속도로 91.7km → 1; 55 / 경부고속도로 154.0km → 251 / 호남고속도로지선 7.2km → 302 / 서산영덕고속도로 54.2km → unnamed road 3.9km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
