scenario_id,route_id,route_type,origin_node_type,origin_name,destination_node_type,destination_name,flow_category,flow_label,quantity,quantity_unit,routing_provider,routing_status,straight_line_km,road_distance_km,distance_nm,duration_min,duration_hours_estimate,fuel_liters_per_trip,driver_hours_per_trip,estimated_trip_cost_krw,risk_score,route_geometry_points,route_road_summary,routing_note,status
baseline,sea_baseline_src_jp_maizuru_magnets_port_donghae,maritime_import,foreign_material_source,Maizuru,import_port,Donghae Port,ndfeb_magnet_feedstock,ndfeb_magnet_feedstock,3877,kg_30d,D4D maritime corridor estimate,maritime_corridor_estimate,,,325.7,,21.0,,,,0.167,5,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance.",east_sea_preferred
baseline,sea_baseline_src_jp_niigata_battery_port_donghae,maritime_import,foreign_material_source,Niigata,import_port,Donghae Port,lithium_battery_feedstock,lithium_battery_feedstock,11206,kg_30d,D4D maritime corridor estimate,maritime_corridor_estimate,,,474.2,,30.6,,,,0.225,5,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance.",east_sea_preferred
baseline,sea_baseline_src_jp_kitakyushu_electronics_port_busan,maritime_import,foreign_material_source,Kitakyushu,import_port,Busan Port,copper_electronics_feedstock,copper_electronics_feedstock,6904,kg_30d,D4D maritime corridor estimate,maritime_corridor_estimate,,,117.1,,7.6,,,,0.199,5,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance.",southern_port_link
baseline,sea_baseline_src_jp_nagoya_composite_port_ulsan,maritime_import,foreign_material_source,Nagoya,import_port,Ulsan Port,lightweight_airframe_feedstock,lightweight_airframe_feedstock,13214,kg_30d,D4D maritime corridor estimate,maritime_corridor_estimate,,,528.7,,34.1,,,,0.233,8,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance.",southern_port_link
baseline,sea_baseline_src_jp_yokohama_optics_port_pohang,maritime_import,foreign_material_source,Yokohama,import_port,Pohang Port,optical_sensor_components,optical_sensor_components,1267,kg_30d,D4D maritime corridor estimate,maritime_corridor_estimate,,,685.0,,44.2,,,,0.133,9,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance.",east_sea_preferred
baseline,sea_baseline_src_jp_kobe_polymers_port_busan,maritime_import,foreign_material_source,Kobe,import_port,Busan Port,industrial_polymers_packaging,industrial_polymers_packaging,8126,kg_30d,D4D maritime corridor estimate,maritime_corridor_estimate,,,333.3,,21.5,,,,0.211,7,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance.",southern_port_link
baseline,matroad_baseline_ndfeb_magnet_feedstock_port_donghae_fac_e67713f287_1,port_to_factory_material,import_port,Donghae Port,factory,(주)에스씨디,ndfeb_magnet_feedstock,NdFeB,378,kg_30d,OSRM public demo server,routed,142.8,218.7,,187.9,,33.6,3.13,144900,,47,65 / 동해고속도로 42.2km → 영동고속도로 105.2km → 52 / 광주원주고속도로 32.1km → 37 / 여양로 5.8km → 37 / 개군로 5.9km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,import-to-factory
baseline,matroad_baseline_ndfeb_magnet_feedstock_port_donghae_fac_6884b83922_2,port_to_factory_material,import_port,Donghae Port,factory,(주)원진일렉트로닉스,ndfeb_magnet_feedstock,NdFeB,372,kg_30d,OSRM public demo server,routed,172.4,233.5,,193.0,,35.9,3.22,151100,,47,unnamed road 3.5km → 7 / 동해대로 2.2km → 65 / 동해고속도로 42.2km → 영동고속도로 105.2km → 52 / 광주원주고속도로 54.9km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,import-to-factory
baseline,matroad_baseline_ndfeb_magnet_feedstock_port_donghae_fac_083c0288da_3,port_to_factory_material,import_port,Donghae Port,factory,대화기전(주),ndfeb_magnet_feedstock,NdFeB,359,kg_30d,OSRM public demo server,routed,167.4,221.9,,179.0,,34.1,2.98,141600,,46,"unnamed road 2.2km → 7 / 동해대로 2.2km → 65 / 동해고속도로 42.2km → 50: 서울, 원주 1.9km → 영동고속도로 105.2km",Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,import-to-factory
baseline,matroad_baseline_ndfeb_magnet_feedstock_port_donghae_fac_496dda5a33_4,port_to_factory_material,import_port,Donghae Port,factory,(주)에스피지,ndfeb_magnet_feedstock,NdFeB,340,kg_30d,OSRM public demo server,routed,201.9,262.3,,212.8,,40.4,3.55,167900,,55,"unnamed road 3.3km → 7 / 동해대로 2.2km → 65 / 동해고속도로 42.2km → 50: 서울, 원주 1.9km → 영동고속도로 105.2km",Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,import-to-factory
baseline,matroad_baseline_lithium_battery_feedstock_port_donghae_fac_c788629a58_1,port_to_factory_material,import_port,Donghae Port,factory,SK이노베이션(주),lithium_battery_feedstock,Battery,2876,kg_30d,OSRM public demo server,routed,235.1,337.0,,269.4,,51.8,4.49,213900,,67,65 / 동해고속도로 42.2km → 영동고속도로 173.2km → 50 / 영동고속도로 9.4km → 400 / 수도권제2순환고속도로 35.1km → 15 / 서해안고속도로 50.5km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,import-to-factory
baseline,matroad_baseline_lithium_battery_feedstock_port_donghae_fac_40abaf57ad_2,port_to_factory_material,import_port,Donghae Port,factory,(주)엘지화학,lithium_battery_feedstock,Battery,2693,kg_30d,OSRM public demo server,routed,271.5,378.8,,317.6,,58.3,5.29,247300,,45,38; 28 / 강원남부로 17.5km → 38 / 강원남로 41.0km → 31; 38; 59 / 강원남로 26.6km → 38 / 북부로 17.7km → 40 / 평택제천고속도로 37.6km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.,import-to-factory
